region,id
SOUTH,1
SOUTH,2
SOUTH,3
SOUTH,4
SOUTH,5
SOUTH,6
SOUTH,7
SOUTH,8
SOUTH,9
NORTHEAST,10
SOUTH,11
WEST,12
SOUTH,13
NORTHEAST,14
NORTHEAST,15
NORTHEAST,16
SOUTH,17
SOUTH,18
NORTHEAST,19
SOUTH,20
SOUTH,21
SOUTH,22
SOUTH,23
SOUTH,24
SOUTH,25
NORTHEAST,26
NORTHEAST,27
NORTHEAST,28
NORTHEAST,29
NORTHEAST,30
SOUTH,31
SOUTH,32
SOUTH,33
SOUTH,34
SOUTH,35
SOUTH,36
NORTHEAST,37
SOUTH,38
NORTHEAST,39
NORTHEAST,40
SOUTH,41
NORTHEAST,42
NORTHEAST,43
NORTHEAST,44
SOUTH,45
SOUTH,46
NORTHEAST,47
NORTHEAST,48
NORTHEAST,49
NORTHEAST,50
SOUTH,51
NORTHEAST,52
SOUTH,53
SOUTH,54
NORTHEAST,55
SOUTH,56
SOUTH,57
SOUTH,58
NORTHEAST,59
SOUTH,60
NORTHEAST,61
NORTHEAST,62
NORTHEAST,63
NORTHEAST,64
SOUTH,65
NORTHEAST,66
SOUTH,67
WEST,68
SOUTH,69
NORTHEAST,70
NORTHEAST,71
SOUTH,72
NORTHEAST,73
NORTHEAST,74
NORTHEAST,75
SOUTH,76
NORTHEAST,77
SOUTH,78
NORTHEAST,79
SOUTH,80
SOUTH,81
NORTHEAST,82
SOUTH,83
SOUTH,84
NORTHEAST,85
NORTHEAST,86
SOUTH,87
NORTHEAST,88
SOUTH,89
SOUTH,90
NORTHEAST,91
NORTHEAST,92
SOUTH,93
NORTHEAST,94
SOUTH,95
SOUTH,96
NORTHEAST,97
SOUTH,98
SOUTH,99
NORTHEAST,100
NORTHEAST,101
NORTHEAST,102
SOUTH,103
NORTHEAST,104
NORTHEAST,105
NORTHEAST,106
NORTHEAST,107
NORTHEAST,108
SOUTH,109
SOUTH,110
NORTHEAST,111
NORTHEAST,112
NORTHEAST,113
NORTHEAST,114
NORTHEAST,115
NORTHEAST,116
NORTHEAST,117
SOUTH,118
NORTHEAST,119
NORTHEAST,120
NORTHEAST,121
SOUTH,122
NORTHEAST,123
NORTHEAST,124
NORTHEAST,125
NORTHEAST,126
NORTHEAST,127
SOUTH,128
NORTHEAST,129
NORTHEAST,130
SOUTH,131
NORTHEAST,132
NORTHEAST,133
NORTHEAST,134
SOUTH,135
NORTHEAST,136
NORTHEAST,137
NORTHEAST,138
SOUTH,139
NORTHEAST,140
SOUTH,141
NORTHEAST,142
SOUTH,143
NORTHEAST,144
SOUTH,145
SOUTH,146
NORTHEAST,147
NORTHEAST,148
NORTHEAST,149
SOUTH,150
SOUTH,151
SOUTH,152
SOUTH,153
SOUTH,154
SOUTH,155
SOUTH,156
NORTHEAST,157
NORTHEAST,158
SOUTH,159
SOUTH,160
NORTHEAST,161
SOUTH,162
NORTHEAST,163
SOUTH,164
NORTHEAST,165
NORTHEAST,166
SOUTH,167
NORTHEAST,168
NORTHEAST,169
SOUTH,170
NORTHEAST,171
NORTHEAST,172
SOUTH,173
SOUTH,174
SOUTH,175
NORTHEAST,176
NORTHEAST,177
NORTHEAST,178
SOUTH,179
NORTHEAST,180
SOUTH,181
SOUTH,182
SOUTH,183
NORTHEAST,184
NORTHEAST,185
NORTHEAST,186
NORTHEAST,187
SOUTH,188
SOUTH,189
SOUTH,190
SOUTH,191
SOUTH,192
NORTHEAST,193
SOUTH,194
SOUTH,195
