region,id
NORTHEAST,1
SOUTH,2
SOUTH,3
SOUTH,4
MIDWEST,5
SOUTH,6
SOUTH,7
SOUTH,8
SOUTH,9
NORTHEAST,10
SOUTH,11
NORTHEAST,12
SOUTH,13
SOUTH,14
NORTHEAST,15
NORTHEAST,16
SOUTH,17
NORTHEAST,18
NORTHEAST,19
WEST,20
WEST,21
SOUTH,22
SOUTH,23
SOUTH,24
NORTHEAST,25
NORTHEAST,26
MIDWEST,27
SOUTH,28
SOUTH,29
WEST,30
MIDWEST,31
SOUTH,32
MIDWEST,33
SOUTH,34
SOUTH,35
SOUTH,36
SOUTH,37
NORTHEAST,38
NORTHEAST,39
SOUTH,40
NORTHEAST,41
NORTHEAST,42
NORTHEAST,43
SOUTH,44
NORTHEAST,45
SOUTH,46
SOUTH,47
NORTHEAST,48
NORTHEAST,49
NORTHEAST,50
NORTHEAST,51
NORTHEAST,52
SOUTH,53
SOUTH,54
NORTHEAST,55
NORTHEAST,56
SOUTH,57
MIDWEST,58
SOUTH,59
NORTHEAST,60
SOUTH,61
SOUTH,62
NORTHEAST,63
NORTHEAST,64
SOUTH,65
NORTHEAST,66
SOUTH,67
NORTHEAST,68
WEST,69
NORTHEAST,70
NORTHEAST,71
NORTHEAST,72
NORTHEAST,73
MIDWEST,74
NORTHEAST,75
NORTHEAST,76
NORTHEAST,77
SOUTH,78
SOUTH,79
NORTHEAST,80
NORTHEAST,81
SOUTH,82
NORTHEAST,83
MIDWEST,84
SOUTH,85
SOUTH,86
MIDWEST,87
NORTHEAST,88
SOUTH,89
SOUTH,90
SOUTH,91
SOUTH,92
NORTHEAST,93
NORTHEAST,94
MIDWEST,95
SOUTH,96
NORTHEAST,97
NORTHEAST,98
SOUTH,99
SOUTH,100
NORTHEAST,101
NORTHEAST,102
SOUTH,103
NORTHEAST,104
SOUTH,105
NORTHEAST,106
NORTHEAST,107
NORTHEAST,108
NORTHEAST,109
NORTHEAST,110
NORTHEAST,111
NORTHEAST,112
NORTHEAST,113
SOUTH,114
SOUTH,115
MIDWEST,116
SOUTH,117
NORTHEAST,118
MIDWEST,119
NORTHEAST,120
SOUTH,121
NORTHEAST,122
MIDWEST,123
NORTHEAST,124
NORTHEAST,125
NORTHEAST,126
NORTHEAST,127
SOUTH,128
NORTHEAST,129
SOUTH,130
NORTHEAST,131
NORTHEAST,132
NORTHEAST,133
NORTHEAST,134
SOUTH,135
NORTHEAST,136
NORTHEAST,137
NORTHEAST,138
SOUTH,139
NORTHEAST,140
NORTHEAST,141
NORTHEAST,142
SOUTH,143
MIDWEST,144
SOUTH,145
SOUTH,146
NORTHEAST,147
SOUTH,148
SOUTH,149
MIDWEST,150
SOUTH,151
NORTHEAST,152
NORTHEAST,153
MIDWEST,154
NORTHEAST,155
NORTHEAST,156
SOUTH,157
NORTHEAST,158
SOUTH,159
SOUTH,160
NORTHEAST,161
NORTHEAST,162
NORTHEAST,163
NORTHEAST,164
NORTHEAST,165
NORTHEAST,166
NORTHEAST,167
NORTHEAST,168
NORTHEAST,169
SOUTH,170
SOUTH,171
NORTHEAST,172
NORTHEAST,173
SOUTH,174
MIDWEST,175
NORTHEAST,176
SOUTH,177
SOUTH,178
NORTHEAST,179
NORTHEAST,180
NORTHEAST,181
SOUTH,182
SOUTH,183
NORTHEAST,184
NORTHEAST,185
NORTHEAST,186
NORTHEAST,187
SOUTH,188
WEST,189
SOUTH,190
SOUTH,191
SOUTH,192
MIDWEST,193
SOUTH,194
NORTHEAST,195
NORTHEAST,196
SOUTH,197
SOUTH,198
SOUTH,199
NORTHEAST,200
SOUTH,201
NORTHEAST,202
NORTHEAST,203
SOUTH,204
SOUTH,205
MIDWEST,206
NORTHEAST,207
NORTHEAST,208
NORTHEAST,209
NORTHEAST,210
SOUTH,211
NORTHEAST,212
NORTHEAST,213
SOUTH,214
WEST,215
SOUTH,216
NORTHEAST,217
SOUTH,218
NORTHEAST,219
NORTHEAST,220
NORTHEAST,221
NORTHEAST,222
NORTHEAST,223
SOUTH,224
SOUTH,225
SOUTH,226
SOUTH,227
NORTHEAST,228
NORTHEAST,229
MIDWEST,230
NORTHEAST,231
NORTHEAST,232
NORTHEAST,233
MIDWEST,234
SOUTH,235
SOUTH,236
NORTHEAST,237
SOUTH,238
SOUTH,239
NORTHEAST,240
NORTHEAST,241
SOUTH,242
NORTHEAST,243
SOUTH,244
NORTHEAST,245
NORTHEAST,246
NORTHEAST,247
NORTHEAST,248
NORTHEAST,249
NORTHEAST,250
MIDWEST,251
NORTHEAST,252
MIDWEST,253
SOUTH,254
NORTHEAST,255
SOUTH,256
NORTHEAST,257
NORTHEAST,258
NORTHEAST,259
NORTHEAST,260
NORTHEAST,261
NORTHEAST,262
MIDWEST,263
NORTHEAST,264
SOUTH,265
NORTHEAST,266
SOUTH,267
NORTHEAST,268
SOUTH,269
SOUTH,270
SOUTH,271
SOUTH,272
MIDWEST,273
MIDWEST,274
NORTHEAST,275
NORTHEAST,276
WEST,277
SOUTH,278
NORTHEAST,279
SOUTH,280
NORTHEAST,281
SOUTH,282
NORTHEAST,283
NORTHEAST,284
NORTHEAST,285
SOUTH,286
SOUTH,287
SOUTH,288
MIDWEST,289
SOUTH,290
MIDWEST,291
NORTHEAST,292
MIDWEST,293
NORTHEAST,294
NORTHEAST,295
NORTHEAST,296
NORTHEAST,297
SOUTH,298
NORTHEAST,299
MIDWEST,300
NORTHEAST,301
MIDWEST,302
NORTHEAST,303
NORTHEAST,304
NORTHEAST,305
NORTHEAST,306
NORTHEAST,307
NORTHEAST,308
SOUTH,309
NORTHEAST,310
SOUTH,311
NORTHEAST,312
NORTHEAST,313
NORTHEAST,314
NORTHEAST,315
NORTHEAST,316
NORTHEAST,317
NORTHEAST,318
SOUTH,319
NORTHEAST,320
NORTHEAST,321
NORTHEAST,322
WEST,323
NORTHEAST,324
NORTHEAST,325
SOUTH,326
NORTHEAST,327
NORTHEAST,328
NORTHEAST,329
NORTHEAST,330
SOUTH,331
NORTHEAST,332
SOUTH,333
NORTHEAST,334
NORTHEAST,335
NORTHEAST,336
NORTHEAST,337
SOUTH,338
NORTHEAST,339
NORTHEAST,340
NORTHEAST,341
NORTHEAST,342
SOUTH,343
SOUTH,344
NORTHEAST,345
NORTHEAST,346
SOUTH,347
NORTHEAST,348
NORTHEAST,349
NORTHEAST,350
SOUTH,351
WEST,352
SOUTH,353
SOUTH,354
NORTHEAST,355
SOUTH,356
NORTHEAST,357
SOUTH,358
NORTHEAST,359
NORTHEAST,360
NORTHEAST,361
NORTHEAST,362
NORTHEAST,363
MIDWEST,364
NORTHEAST,365
NORTHEAST,366
SOUTH,367
SOUTH,368
MIDWEST,369
NORTHEAST,370
SOUTH,371
NORTHEAST,372
NORTHEAST,373
SOUTH,374
NORTHEAST,375
SOUTH,376
NORTHEAST,377
SOUTH,378
SOUTH,379
SOUTH,380
SOUTH,381
NORTHEAST,382
MIDWEST,383
SOUTH,384
SOUTH,385
NORTHEAST,386
SOUTH,387
SOUTH,388
MIDWEST,389
MIDWEST,390
NORTHEAST,391
SOUTH,392
SOUTH,393
NORTHEAST,394
NORTHEAST,395
NORTHEAST,396
NORTHEAST,397
NORTHEAST,398
SOUTH,399
NORTHEAST,400
SOUTH,401
NORTHEAST,402
SOUTH,403
SOUTH,404
SOUTH,405
SOUTH,406
SOUTH,407
SOUTH,408
NORTHEAST,409
MIDWEST,410
MIDWEST,411
NORTHEAST,412
SOUTH,413
SOUTH,414
MIDWEST,415
SOUTH,416
SOUTH,417
NORTHEAST,418
NORTHEAST,419
NORTHEAST,420
NORTHEAST,421
SOUTH,422
NORTHEAST,423
SOUTH,424
WEST,425
NORTHEAST,426
NORTHEAST,427
NORTHEAST,428
NORTHEAST,429
WEST,430
NORTHEAST,431
NORTHEAST,432
NORTHEAST,433
NORTHEAST,434
NORTHEAST,435
SOUTH,436
SOUTH,437
SOUTH,438
NORTHEAST,439
SOUTH,440
SOUTH,441
NORTHEAST,442
NORTHEAST,443
NORTHEAST,444
SOUTH,445
WEST,446
NORTHEAST,447
NORTHEAST,448
NORTHEAST,449
NORTHEAST,450
SOUTH,451
SOUTH,452
SOUTH,453
NORTHEAST,454
NORTHEAST,455
SOUTH,456
SOUTH,457
SOUTH,458
SOUTH,459
SOUTH,460
NORTHEAST,461
SOUTH,462
MIDWEST,463
NORTHEAST,464
NORTHEAST,465
SOUTH,466
NORTHEAST,467
WEST,468
NORTHEAST,469
MIDWEST,470
NORTHEAST,471
NORTHEAST,472
MIDWEST,473
NORTHEAST,474
NORTHEAST,475
SOUTH,476
NORTHEAST,477
NORTHEAST,478
SOUTH,479
SOUTH,480
SOUTH,481
NORTHEAST,482
SOUTH,483
SOUTH,484
NORTHEAST,485
NORTHEAST,486
WEST,487
NORTHEAST,488
NORTHEAST,489
NORTHEAST,490
MIDWEST,491
NORTHEAST,492
NORTHEAST,493
SOUTH,494
SOUTH,495
SOUTH,496
SOUTH,497
SOUTH,498
NORTHEAST,499
SOUTH,500
SOUTH,501
SOUTH,502
SOUTH,503
MIDWEST,504
NORTHEAST,505
NORTHEAST,506
NORTHEAST,507
SOUTH,508
NORTHEAST,509
SOUTH,510
NORTHEAST,511
NORTHEAST,512
SOUTH,513
NORTHEAST,514
NORTHEAST,515
NORTHEAST,516
MIDWEST,517
NORTHEAST,518
NORTHEAST,519
NORTHEAST,520
NORTHEAST,521
NORTHEAST,522
SOUTH,523
SOUTH,524
NORTHEAST,525
SOUTH,526
NORTHEAST,527
SOUTH,528
NORTHEAST,529
SOUTH,530
NORTHEAST,531
NORTHEAST,532
NORTHEAST,533
SOUTH,534
SOUTH,535
SOUTH,536
WEST,537
SOUTH,538
NORTHEAST,539
NORTHEAST,540
NORTHEAST,541
SOUTH,542
SOUTH,543
SOUTH,544
NORTHEAST,545
SOUTH,546
NORTHEAST,547
NORTHEAST,548
SOUTH,549
MIDWEST,550
NORTHEAST,551
NORTHEAST,552
NORTHEAST,553
SOUTH,554
NORTHEAST,555
NORTHEAST,556
NORTHEAST,557
NORTHEAST,558
NORTHEAST,559
SOUTH,560
SOUTH,561
NORTHEAST,562
NORTHEAST,563
NORTHEAST,564
NORTHEAST,565
NORTHEAST,566
NORTHEAST,567
SOUTH,568
NORTHEAST,569
NORTHEAST,570
SOUTH,571
SOUTH,572
NORTHEAST,573
MIDWEST,574
NORTHEAST,575
NORTHEAST,576
SOUTH,577
MIDWEST,578
WEST,579
NORTHEAST,580
SOUTH,581
SOUTH,582
NORTHEAST,583
NORTHEAST,584
NORTHEAST,585
SOUTH,586
SOUTH,587
NORTHEAST,588
NORTHEAST,589
NORTHEAST,590
SOUTH,591
NORTHEAST,592
NORTHEAST,593
NORTHEAST,594
NORTHEAST,595
NORTHEAST,596
NORTHEAST,597
NORTHEAST,598
NORTHEAST,599
SOUTH,600
NORTHEAST,601
SOUTH,602
SOUTH,603
NORTHEAST,604
SOUTH,605
NORTHEAST,606
NORTHEAST,607
SOUTH,608
SOUTH,609
SOUTH,610
NORTHEAST,611
NORTHEAST,612
SOUTH,613
SOUTH,614
NORTHEAST,615
NORTHEAST,616
NORTHEAST,617
MIDWEST,618
NORTHEAST,619
NORTHEAST,620
NORTHEAST,621
SOUTH,622
SOUTH,623
NORTHEAST,624
SOUTH,625
SOUTH,626
NORTHEAST,627
SOUTH,628
SOUTH,629
NORTHEAST,630
SOUTH,631
NORTHEAST,632
SOUTH,633
MIDWEST,634
NORTHEAST,635
NORTHEAST,636
NORTHEAST,637
SOUTH,638
NORTHEAST,639
NORTHEAST,640
SOUTH,641
NORTHEAST,642
MIDWEST,643
SOUTH,644
SOUTH,645
NORTHEAST,646
SOUTH,647
NORTHEAST,648
MIDWEST,649
NORTHEAST,650
NORTHEAST,651
NORTHEAST,652
NORTHEAST,653
SOUTH,654
WEST,655
SOUTH,656
NORTHEAST,657
SOUTH,658
NORTHEAST,659
SOUTH,660
NORTHEAST,661
SOUTH,662
NORTHEAST,663
MIDWEST,664
SOUTH,665
SOUTH,666
NORTHEAST,667
MIDWEST,668
SOUTH,669
MIDWEST,670
NORTHEAST,671
MIDWEST,672
SOUTH,673
SOUTH,674
SOUTH,675
NORTHEAST,676
NORTHEAST,677
SOUTH,678
SOUTH,679
NORTHEAST,680
SOUTH,681
NORTHEAST,682
NORTHEAST,683
SOUTH,684
SOUTH,685
MIDWEST,686
NORTHEAST,687
SOUTH,688
SOUTH,689
SOUTH,690
NORTHEAST,691
NORTHEAST,692
SOUTH,693
NORTHEAST,694
NORTHEAST,695
MIDWEST,696
NORTHEAST,697
SOUTH,698
SOUTH,699
NORTHEAST,700
NORTHEAST,701
MIDWEST,702
SOUTH,703
NORTHEAST,704
NORTHEAST,705
NORTHEAST,706
SOUTH,707
NORTHEAST,708
SOUTH,709
SOUTH,710
SOUTH,711
NORTHEAST,712
SOUTH,713
MIDWEST,714
NORTHEAST,715
NORTHEAST,716
SOUTH,717
NORTHEAST,718
NORTHEAST,719
NORTHEAST,720
NORTHEAST,721
NORTHEAST,722
SOUTH,723
SOUTH,724
NORTHEAST,725
SOUTH,726
NORTHEAST,727
SOUTH,728
SOUTH,729
SOUTH,730
NORTHEAST,731
NORTHEAST,732
MIDWEST,733
NORTHEAST,734
SOUTH,735
SOUTH,736
NORTHEAST,737
NORTHEAST,738
SOUTH,739
SOUTH,740
NORTHEAST,741
SOUTH,742
SOUTH,743
NORTHEAST,744
NORTHEAST,745
NORTHEAST,746
NORTHEAST,747
NORTHEAST,748
NORTHEAST,749
NORTHEAST,750
NORTHEAST,751
NORTHEAST,752
NORTHEAST,753
SOUTH,754
NORTHEAST,755
NORTHEAST,756
SOUTH,757
SOUTH,758
SOUTH,759
SOUTH,760
NORTHEAST,761
NORTHEAST,762
NORTHEAST,763
NORTHEAST,764
NORTHEAST,765
SOUTH,766
NORTHEAST,767
NORTHEAST,768
SOUTH,769
NORTHEAST,770
SOUTH,771
NORTHEAST,772
NORTHEAST,773
NORTHEAST,774
MIDWEST,775
NORTHEAST,776
NORTHEAST,777
SOUTH,778
NORTHEAST,779
NORTHEAST,780
NORTHEAST,781
NORTHEAST,782
SOUTH,783
NORTHEAST,784
MIDWEST,785
SOUTH,786
NORTHEAST,787
NORTHEAST,788
NORTHEAST,789
NORTHEAST,790
NORTHEAST,791
SOUTH,792
NORTHEAST,793
SOUTH,794
NORTHEAST,795
SOUTH,796
SOUTH,797
SOUTH,798
NORTHEAST,799
NORTHEAST,800
NORTHEAST,801
NORTHEAST,802
NORTHEAST,803
NORTHEAST,804
SOUTH,805
NORTHEAST,806
NORTHEAST,807
SOUTH,808
SOUTH,809
NORTHEAST,810
SOUTH,811
SOUTH,812
WEST,813
NORTHEAST,814
NORTHEAST,815
NORTHEAST,816
NORTHEAST,817
SOUTH,818
NORTHEAST,819
SOUTH,820
SOUTH,821
NORTHEAST,822
SOUTH,823
NORTHEAST,824
SOUTH,825
SOUTH,826
NORTHEAST,827
NORTHEAST,828
SOUTH,829
MIDWEST,830
SOUTH,831
NORTHEAST,832
NORTHEAST,833
NORTHEAST,834
SOUTH,835
SOUTH,836
SOUTH,837
SOUTH,838
MIDWEST,839
NORTHEAST,840
NORTHEAST,841
SOUTH,842
NORTHEAST,843
SOUTH,844
WEST,845
NORTHEAST,846
SOUTH,847
NORTHEAST,848
MIDWEST,849
NORTHEAST,850
SOUTH,851
SOUTH,852
SOUTH,853
NORTHEAST,854
NORTHEAST,855
NORTHEAST,856
NORTHEAST,857
NORTHEAST,858
NORTHEAST,859
NORTHEAST,860
NORTHEAST,861
SOUTH,862
SOUTH,863
NORTHEAST,864
NORTHEAST,865
SOUTH,866
NORTHEAST,867
SOUTH,868
MIDWEST,869
NORTHEAST,870
NORTHEAST,871
NORTHEAST,872
NORTHEAST,873
SOUTH,874
SOUTH,875
SOUTH,876
NORTHEAST,877
NORTHEAST,878
NORTHEAST,879
NORTHEAST,880
SOUTH,881
NORTHEAST,882
NORTHEAST,883
SOUTH,884
SOUTH,885
MIDWEST,886
NORTHEAST,887
SOUTH,888
SOUTH,889
NORTHEAST,890
MIDWEST,891
SOUTH,892
NORTHEAST,893
