region,id
SOUTH,1
SOUTH,2
NORTHEAST,3
SOUTH,4
SOUTH,5
NORTHEAST,6
SOUTH,7
SOUTH,8
NORTHEAST,9
SOUTH,10
SOUTH,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
NORTHEAST,15
SOUTH,16
SOUTH,17
NORTHEAST,18
SOUTH,19
NORTHEAST,20
SOUTH,21
SOUTH,22
SOUTH,23
SOUTH,24
SOUTH,25
NORTHEAST,26
SOUTH,27
NORTHEAST,28
NORTHEAST,29
SOUTH,30
SOUTH,31
SOUTH,32
SOUTH,33
NORTHEAST,34
SOUTH,35
SOUTH,36
NORTHEAST,37
NORTHEAST,38
NORTHEAST,39
SOUTH,40
SOUTH,41
SOUTH,42
SOUTH,43
NORTHEAST,44
SOUTH,45
SOUTH,46
SOUTH,47
SOUTH,48
SOUTH,49
NORTHEAST,50
SOUTH,51
SOUTH,52
SOUTH,53
SOUTH,54
SOUTH,55
NORTHEAST,56
SOUTH,57
SOUTH,58
NORTHEAST,59
NORTHEAST,60
NORTHEAST,61
NORTHEAST,62
NORTHEAST,63
SOUTH,64
NORTHEAST,65
NORTHEAST,66
SOUTH,67
WEST,68
SOUTH,69
SOUTH,70
SOUTH,71
NORTHEAST,72
NORTHEAST,73
NORTHEAST,74
SOUTH,75
NORTHEAST,76
SOUTH,77
NORTHEAST,78
SOUTH,79
NORTHEAST,80
NORTHEAST,81
NORTHEAST,82
SOUTH,83
NORTHEAST,84
NORTHEAST,85
NORTHEAST,86
SOUTH,87
SOUTH,88
SOUTH,89
NORTHEAST,90
SOUTH,91
SOUTH,92
NORTHEAST,93
NORTHEAST,94
SOUTH,95
SOUTH,96
NORTHEAST,97
SOUTH,98
SOUTH,99
NORTHEAST,100
SOUTH,101
SOUTH,102
NORTHEAST,103
NORTHEAST,104
NORTHEAST,105
NORTHEAST,106
NORTHEAST,107
NORTHEAST,108
SOUTH,109
NORTHEAST,110
SOUTH,111
NORTHEAST,112
NORTHEAST,113
SOUTH,114
NORTHEAST,115
NORTHEAST,116
NORTHEAST,117
SOUTH,118
NORTHEAST,119
NORTHEAST,120
NORTHEAST,121
SOUTH,122
SOUTH,123
NORTHEAST,124
SOUTH,125
NORTHEAST,126
SOUTH,127
NORTHEAST,128
NORTHEAST,129
SOUTH,130
SOUTH,131
NORTHEAST,132
NORTHEAST,133
SOUTH,134
NORTHEAST,135
NORTHEAST,136
NORTHEAST,137
NORTHEAST,138
SOUTH,139
NORTHEAST,140
NORTHEAST,141
SOUTH,142
SOUTH,143
NORTHEAST,144
SOUTH,145
NORTHEAST,146
NORTHEAST,147
SOUTH,148
NORTHEAST,149
SOUTH,150
SOUTH,151
NORTHEAST,152
SOUTH,153
NORTHEAST,154
SOUTH,155
SOUTH,156
NORTHEAST,157
SOUTH,158
SOUTH,159
SOUTH,160
SOUTH,161
NORTHEAST,162
NORTHEAST,163
SOUTH,164
NORTHEAST,165
SOUTH,166
NORTHEAST,167
SOUTH,168
SOUTH,169
NORTHEAST,170
SOUTH,171
NORTHEAST,172
SOUTH,173
SOUTH,174
SOUTH,175
NORTHEAST,176
SOUTH,177
NORTHEAST,178
NORTHEAST,179
NORTHEAST,180
NORTHEAST,181
NORTHEAST,182
NORTHEAST,183
NORTHEAST,184
NORTHEAST,185
SOUTH,186
NORTHEAST,187
NORTHEAST,188
NORTHEAST,189
NORTHEAST,190
NORTHEAST,191
SOUTH,192
SOUTH,193
NORTHEAST,194
SOUTH,195
