region,id
SOUTH,1
SOUTH,2
SOUTH,3
SOUTH,4
SOUTH,5
SOUTH,6
NORTHEAST,7
NORTHEAST,8
NORTHEAST,9
NORTHEAST,10
NORTHEAST,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
SOUTH,15
SOUTH,16
NORTHEAST,17
NORTHEAST,18
SOUTH,19
NORTHEAST,20
SOUTH,21
SOUTH,22
SOUTH,23
NORTHEAST,24
SOUTH,25
NORTHEAST,26
NORTHEAST,27
NORTHEAST,28
SOUTH,29
NORTHEAST,30
SOUTH,31
NORTHEAST,32
SOUTH,33
NORTHEAST,34
SOUTH,35
NORTHEAST,36
NORTHEAST,37
NORTHEAST,38
NORTHEAST,39
NORTHEAST,40
SOUTH,41
NORTHEAST,42
NORTHEAST,43
NORTHEAST,44
NORTHEAST,45
NORTHEAST,46
NORTHEAST,47
NORTHEAST,48
NORTHEAST,49
NORTHEAST,50
SOUTH,51
NORTHEAST,52
NORTHEAST,53
NORTHEAST,54
NORTHEAST,55
SOUTH,56
NORTHEAST,57
NORTHEAST,58
NORTHEAST,59
NORTHEAST,60
NORTHEAST,61
NORTHEAST,62
NORTHEAST,63
NORTHEAST,64
NORTHEAST,65
NORTHEAST,66
NORTHEAST,67
NORTHEAST,68
NORTHEAST,69
NORTHEAST,70
NORTHEAST,71
NORTHEAST,72
SOUTH,73
NORTHEAST,74
NORTHEAST,75
NORTHEAST,76
NORTHEAST,77
NORTHEAST,78
NORTHEAST,79
SOUTH,80
NORTHEAST,81
NORTHEAST,82
SOUTH,83
NORTHEAST,84
NORTHEAST,85
NORTHEAST,86
SOUTH,87
NORTHEAST,88
NORTHEAST,89
NORTHEAST,90
SOUTH,91
NORTHEAST,92
NORTHEAST,93
NORTHEAST,94
NORTHEAST,95
NORTHEAST,96
NORTHEAST,97
NORTHEAST,98
SOUTH,99
NORTHEAST,100
NORTHEAST,101
NORTHEAST,102
NORTHEAST,103
NORTHEAST,104
SOUTH,105
SOUTH,106
NORTHEAST,107
NORTHEAST,108
SOUTH,109
SOUTH,110
NORTHEAST,111
NORTHEAST,112
NORTHEAST,113
SOUTH,114
NORTHEAST,115
SOUTH,116
NORTHEAST,117
SOUTH,118
NORTHEAST,119
SOUTH,120
NORTHEAST,121
NORTHEAST,122
NORTHEAST,123
SOUTH,124
SOUTH,125
NORTHEAST,126
NORTHEAST,127
NORTHEAST,128
NORTHEAST,129
NORTHEAST,130
NORTHEAST,131
NORTHEAST,132
NORTHEAST,133
SOUTH,134
SOUTH,135
NORTHEAST,136
NORTHEAST,137
NORTHEAST,138
SOUTH,139
NORTHEAST,140
NORTHEAST,141
NORTHEAST,142
NORTHEAST,143
SOUTH,144
SOUTH,145
NORTHEAST,146
SOUTH,147
SOUTH,148
SOUTH,149
NORTHEAST,150
SOUTH,151
SOUTH,152
NORTHEAST,153
NORTHEAST,154
NORTHEAST,155
NORTHEAST,156
SOUTH,157
NORTHEAST,158
NORTHEAST,159
SOUTH,160
SOUTH,161
NORTHEAST,162
SOUTH,163
NORTHEAST,164
NORTHEAST,165
NORTHEAST,166
NORTHEAST,167
NORTHEAST,168
SOUTH,169
NORTHEAST,170
SOUTH,171
NORTHEAST,172
SOUTH,173
SOUTH,174
NORTHEAST,175
NORTHEAST,176
SOUTH,177
SOUTH,178
NORTHEAST,179
NORTHEAST,180
SOUTH,181
SOUTH,182
NORTHEAST,183
NORTHEAST,184
NORTHEAST,185
SOUTH,186
NORTHEAST,187
