region,id
SOUTH,1
SOUTH,2
SOUTH,3
SOUTH,4
NORTHEAST,5
NORTHEAST,6
NORTHEAST,7
NORTHEAST,8
NORTHEAST,9
SOUTH,10
SOUTH,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
NORTHEAST,15
NORTHEAST,16
NORTHEAST,17
SOUTH,18
NORTHEAST,19
SOUTH,20
SOUTH,21
SOUTH,22
SOUTH,23
NORTHEAST,24
NORTHEAST,25
SOUTH,26
SOUTH,27
SOUTH,28
SOUTH,29
SOUTH,30
NORTHEAST,31
SOUTH,32
SOUTH,33
NORTHEAST,34
SOUTH,35
SOUTH,36
SOUTH,37
NORTHEAST,38
NORTHEAST,39
NORTHEAST,40
SOUTH,41
SOUTH,42
NORTHEAST,43
SOUTH,44
SOUTH,45
NORTHEAST,46
SOUTH,47
SOUTH,48
NORTHEAST,49
NORTHEAST,50
SOUTH,51
NORTHEAST,52
SOUTH,53
SOUTH,54
SOUTH,55
SOUTH,56
SOUTH,57
SOUTH,58
SOUTH,59
SOUTH,60
SOUTH,61
NORTHEAST,62
NORTHEAST,63
NORTHEAST,64
SOUTH,65
SOUTH,66
SOUTH,67
SOUTH,68
SOUTH,69
SOUTH,70
SOUTH,71
SOUTH,72
NORTHEAST,73
SOUTH,74
NORTHEAST,75
SOUTH,76
SOUTH,77
NORTHEAST,78
SOUTH,79
NORTHEAST,80
NORTHEAST,81
NORTHEAST,82
SOUTH,83
SOUTH,84
NORTHEAST,85
SOUTH,86
NORTHEAST,87
SOUTH,88
SOUTH,89
NORTHEAST,90
SOUTH,91
SOUTH,92
SOUTH,93
SOUTH,94
SOUTH,95
NORTHEAST,96
NORTHEAST,97
SOUTH,98
NORTHEAST,99
NORTHEAST,100
SOUTH,101
NORTHEAST,102
NORTHEAST,103
SOUTH,104
NORTHEAST,105
NORTHEAST,106
NORTHEAST,107
NORTHEAST,108
NORTHEAST,109
NORTHEAST,110
NORTHEAST,111
NORTHEAST,112
NORTHEAST,113
NORTHEAST,114
SOUTH,115
NORTHEAST,116
NORTHEAST,117
SOUTH,118
NORTHEAST,119
NORTHEAST,120
NORTHEAST,121
NORTHEAST,122
NORTHEAST,123
NORTHEAST,124
NORTHEAST,125
NORTHEAST,126
NORTHEAST,127
NORTHEAST,128
SOUTH,129
NORTHEAST,130
NORTHEAST,131
NORTHEAST,132
NORTHEAST,133
SOUTH,134
NORTHEAST,135
NORTHEAST,136
SOUTH,137
SOUTH,138
NORTHEAST,139
NORTHEAST,140
SOUTH,141
NORTHEAST,142
SOUTH,143
SOUTH,144
SOUTH,145
SOUTH,146
NORTHEAST,147
SOUTH,148
SOUTH,149
SOUTH,150
SOUTH,151
NORTHEAST,152
SOUTH,153
NORTHEAST,154
SOUTH,155
SOUTH,156
SOUTH,157
SOUTH,158
SOUTH,159
SOUTH,160
SOUTH,161
SOUTH,162
NORTHEAST,163
NORTHEAST,164
SOUTH,165
NORTHEAST,166
NORTHEAST,167
NORTHEAST,168
NORTHEAST,169
NORTHEAST,170
NORTHEAST,171
NORTHEAST,172
SOUTH,173
NORTHEAST,174
NORTHEAST,175
NORTHEAST,176
NORTHEAST,177
NORTHEAST,178
NORTHEAST,179
NORTHEAST,180
NORTHEAST,181
SOUTH,182
SOUTH,183
NORTHEAST,184
NORTHEAST,185
NORTHEAST,186
NORTHEAST,187
NORTHEAST,188
NORTHEAST,189
NORTHEAST,190
NORTHEAST,191
NORTHEAST,192
NORTHEAST,193
