region,id
SOUTH,1
NORTHEAST,2
NORTHEAST,3
SOUTH,4
SOUTH,5
SOUTH,6
SOUTH,7
NORTHEAST,8
NORTHEAST,9
SOUTH,10
SOUTH,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
NORTHEAST,15
SOUTH,16
SOUTH,17
SOUTH,18
NORTHEAST,19
SOUTH,20
NORTHEAST,21
SOUTH,22
SOUTH,23
SOUTH,24
SOUTH,25
NORTHEAST,26
SOUTH,27
SOUTH,28
NORTHEAST,29
SOUTH,30
SOUTH,31
SOUTH,32
SOUTH,33
NORTHEAST,34
SOUTH,35
SOUTH,36
NORTHEAST,37
NORTHEAST,38
NORTHEAST,39
NORTHEAST,40
SOUTH,41
SOUTH,42
NORTHEAST,43
NORTHEAST,44
SOUTH,45
SOUTH,46
SOUTH,47
SOUTH,48
NORTHEAST,49
NORTHEAST,50
NORTHEAST,51
SOUTH,52
SOUTH,53
MIDWEST,54
SOUTH,55
SOUTH,56
SOUTH,57
SOUTH,58
SOUTH,59
NORTHEAST,60
SOUTH,61
NORTHEAST,62
NORTHEAST,63
NORTHEAST,64
SOUTH,65
NORTHEAST,66
SOUTH,67
WEST,68
SOUTH,69
SOUTH,70
SOUTH,71
NORTHEAST,72
NORTHEAST,73
SOUTH,74
NORTHEAST,75
SOUTH,76
SOUTH,77
NORTHEAST,78
SOUTH,79
NORTHEAST,80
NORTHEAST,81
NORTHEAST,82
SOUTH,83
NORTHEAST,84
NORTHEAST,85
SOUTH,86
SOUTH,87
SOUTH,88
SOUTH,89
NORTHEAST,90
NORTHEAST,91
SOUTH,92
SOUTH,93
SOUTH,94
SOUTH,95
SOUTH,96
NORTHEAST,97
NORTHEAST,98
SOUTH,99
NORTHEAST,100
NORTHEAST,101
SOUTH,102
NORTHEAST,103
SOUTH,104
NORTHEAST,105
NORTHEAST,106
NORTHEAST,107
NORTHEAST,108
NORTHEAST,109
NORTHEAST,110
NORTHEAST,111
NORTHEAST,112
NORTHEAST,113
SOUTH,114
NORTHEAST,115
NORTHEAST,116
NORTHEAST,117
SOUTH,118
NORTHEAST,119
NORTHEAST,120
NORTHEAST,121
SOUTH,122
NORTHEAST,123
NORTHEAST,124
NORTHEAST,125
NORTHEAST,126
SOUTH,127
NORTHEAST,128
NORTHEAST,129
NORTHEAST,130
SOUTH,131
NORTHEAST,132
NORTHEAST,133
SOUTH,134
NORTHEAST,135
NORTHEAST,136
NORTHEAST,137
NORTHEAST,138
NORTHEAST,139
NORTHEAST,140
NORTHEAST,141
NORTHEAST,142
SOUTH,143
SOUTH,144
SOUTH,145
SOUTH,146
NORTHEAST,147
SOUTH,148
SOUTH,149
SOUTH,150
SOUTH,151
NORTHEAST,152
SOUTH,153
SOUTH,154
SOUTH,155
SOUTH,156
SOUTH,157
SOUTH,158
SOUTH,159
SOUTH,160
SOUTH,161
NORTHEAST,162
SOUTH,163
NORTHEAST,164
SOUTH,165
NORTHEAST,166
NORTHEAST,167
SOUTH,168
NORTHEAST,169
SOUTH,170
NORTHEAST,171
NORTHEAST,172
