region,id
MIDWEST,1
NORTHEAST,2
NORTHEAST,3
SOUTH,4
MIDWEST,5
NORTHEAST,6
SOUTH,7
SOUTH,8
SOUTH,9
SOUTH,10
SOUTH,11
NORTHEAST,12
SOUTH,13
NORTHEAST,14
NORTHEAST,15
NORTHEAST,16
SOUTH,17
NORTHEAST,18
NORTHEAST,19
NORTHEAST,20
SOUTH,21
MIDWEST,22
SOUTH,23
SOUTH,24
SOUTH,25
SOUTH,26
SOUTH,27
NORTHEAST,28
NORTHEAST,29
NORTHEAST,30
MIDWEST,31
SOUTH,32
MIDWEST,33
SOUTH,34
SOUTH,35
NORTHEAST,36
WEST,37
NORTHEAST,38
NORTHEAST,39
MIDWEST,40
MIDWEST,41
MIDWEST,42
NORTHEAST,43
NORTHEAST,44
NORTHEAST,45
NORTHEAST,46
NORTHEAST,47
SOUTH,48
NORTHEAST,49
SOUTH,50
NORTHEAST,51
NORTHEAST,52
SOUTH,53
MIDWEST,54
NORTHEAST,55
NORTHEAST,56
NORTHEAST,57
SOUTH,58
WEST,59
NORTHEAST,60
MIDWEST,61
NORTHEAST,62
WEST,63
NORTHEAST,64
SOUTH,65
WEST,66
SOUTH,67
SOUTH,68
NORTHEAST,69
SOUTH,70
NORTHEAST,71
SOUTH,72
SOUTH,73
NORTHEAST,74
NORTHEAST,75
SOUTH,76
SOUTH,77
SOUTH,78
NORTHEAST,79
NORTHEAST,80
SOUTH,81
NORTHEAST,82
MIDWEST,83
MIDWEST,84
NORTHEAST,85
MIDWEST,86
MIDWEST,87
SOUTH,88
MIDWEST,89
SOUTH,90
SOUTH,91
SOUTH,92
MIDWEST,93
WEST,94
SOUTH,95
SOUTH,96
NORTHEAST,97
NORTHEAST,98
SOUTH,99
NORTHEAST,100
SOUTH,101
MIDWEST,102
NORTHEAST,103
NORTHEAST,104
SOUTH,105
SOUTH,106
NORTHEAST,107
NORTHEAST,108
NORTHEAST,109
SOUTH,110
NORTHEAST,111
NORTHEAST,112
NORTHEAST,113
SOUTH,114
NORTHEAST,115
WEST,116
NORTHEAST,117
MIDWEST,118
NORTHEAST,119
NORTHEAST,120
NORTHEAST,121
NORTHEAST,122
NORTHEAST,123
SOUTH,124
MIDWEST,125
NORTHEAST,126
SOUTH,127
NORTHEAST,128
SOUTH,129
NORTHEAST,130
SOUTH,131
NORTHEAST,132
NORTHEAST,133
NORTHEAST,134
SOUTH,135
NORTHEAST,136
SOUTH,137
NORTHEAST,138
NORTHEAST,139
NORTHEAST,140
NORTHEAST,141
SOUTH,142
MIDWEST,143
NORTHEAST,144
MIDWEST,145
NORTHEAST,146
NORTHEAST,147
SOUTH,148
NORTHEAST,149
SOUTH,150
SOUTH,151
NORTHEAST,152
MIDWEST,153
MIDWEST,154
MIDWEST,155
WEST,156
SOUTH,157
NORTHEAST,158
SOUTH,159
SOUTH,160
NORTHEAST,161
NORTHEAST,162
NORTHEAST,163
MIDWEST,164
SOUTH,165
MIDWEST,166
NORTHEAST,167
NORTHEAST,168
SOUTH,169
NORTHEAST,170
NORTHEAST,171
NORTHEAST,172
SOUTH,173
NORTHEAST,174
NORTHEAST,175
SOUTH,176
NORTHEAST,177
NORTHEAST,178
SOUTH,179
SOUTH,180
NORTHEAST,181
NORTHEAST,182
NORTHEAST,183
NORTHEAST,184
NORTHEAST,185
NORTHEAST,186
SOUTH,187
NORTHEAST,188
NORTHEAST,189
NORTHEAST,190
SOUTH,191
SOUTH,192
WEST,193
SOUTH,194
NORTHEAST,195
NORTHEAST,196
NORTHEAST,197
SOUTH,198
MIDWEST,199
SOUTH,200
NORTHEAST,201
NORTHEAST,202
NORTHEAST,203
NORTHEAST,204
SOUTH,205
WEST,206
NORTHEAST,207
SOUTH,208
NORTHEAST,209
NORTHEAST,210
NORTHEAST,211
SOUTH,212
NORTHEAST,213
SOUTH,214
NORTHEAST,215
NORTHEAST,216
NORTHEAST,217
NORTHEAST,218
NORTHEAST,219
SOUTH,220
NORTHEAST,221
NORTHEAST,222
NORTHEAST,223
NORTHEAST,224
NORTHEAST,225
SOUTH,226
NORTHEAST,227
NORTHEAST,228
NORTHEAST,229
NORTHEAST,230
SOUTH,231
SOUTH,232
MIDWEST,233
NORTHEAST,234
NORTHEAST,235
NORTHEAST,236
SOUTH,237
NORTHEAST,238
NORTHEAST,239
SOUTH,240
NORTHEAST,241
SOUTH,242
NORTHEAST,243
NORTHEAST,244
SOUTH,245
SOUTH,246
WEST,247
NORTHEAST,248
SOUTH,249
NORTHEAST,250
WEST,251
SOUTH,252
NORTHEAST,253
SOUTH,254
SOUTH,255
NORTHEAST,256
NORTHEAST,257
NORTHEAST,258
SOUTH,259
MIDWEST,260
SOUTH,261
NORTHEAST,262
SOUTH,263
SOUTH,264
SOUTH,265
SOUTH,266
SOUTH,267
NORTHEAST,268
NORTHEAST,269
SOUTH,270
SOUTH,271
SOUTH,272
NORTHEAST,273
SOUTH,274
SOUTH,275
SOUTH,276
MIDWEST,277
NORTHEAST,278
SOUTH,279
NORTHEAST,280
NORTHEAST,281
NORTHEAST,282
SOUTH,283
NORTHEAST,284
MIDWEST,285
SOUTH,286
NORTHEAST,287
SOUTH,288
NORTHEAST,289
SOUTH,290
NORTHEAST,291
SOUTH,292
SOUTH,293
NORTHEAST,294
NORTHEAST,295
SOUTH,296
SOUTH,297
NORTHEAST,298
WEST,299
WEST,300
NORTHEAST,301
NORTHEAST,302
MIDWEST,303
NORTHEAST,304
NORTHEAST,305
SOUTH,306
WEST,307
NORTHEAST,308
NORTHEAST,309
NORTHEAST,310
MIDWEST,311
NORTHEAST,312
NORTHEAST,313
SOUTH,314
NORTHEAST,315
SOUTH,316
NORTHEAST,317
NORTHEAST,318
NORTHEAST,319
NORTHEAST,320
NORTHEAST,321
NORTHEAST,322
NORTHEAST,323
NORTHEAST,324
NORTHEAST,325
SOUTH,326
SOUTH,327
MIDWEST,328
NORTHEAST,329
WEST,330
SOUTH,331
NORTHEAST,332
SOUTH,333
NORTHEAST,334
NORTHEAST,335
SOUTH,336
NORTHEAST,337
NORTHEAST,338
NORTHEAST,339
NORTHEAST,340
SOUTH,341
SOUTH,342
NORTHEAST,343
NORTHEAST,344
NORTHEAST,345
NORTHEAST,346
NORTHEAST,347
SOUTH,348
NORTHEAST,349
MIDWEST,350
NORTHEAST,351
NORTHEAST,352
SOUTH,353
SOUTH,354
NORTHEAST,355
SOUTH,356
SOUTH,357
SOUTH,358
SOUTH,359
NORTHEAST,360
SOUTH,361
NORTHEAST,362
NORTHEAST,363
SOUTH,364
SOUTH,365
SOUTH,366
SOUTH,367
SOUTH,368
NORTHEAST,369
SOUTH,370
SOUTH,371
SOUTH,372
NORTHEAST,373
NORTHEAST,374
SOUTH,375
SOUTH,376
MIDWEST,377
SOUTH,378
NORTHEAST,379
NORTHEAST,380
SOUTH,381
SOUTH,382
WEST,383
SOUTH,384
SOUTH,385
SOUTH,386
SOUTH,387
SOUTH,388
SOUTH,389
NORTHEAST,390
NORTHEAST,391
NORTHEAST,392
SOUTH,393
NORTHEAST,394
NORTHEAST,395
NORTHEAST,396
NORTHEAST,397
NORTHEAST,398
SOUTH,399
NORTHEAST,400
NORTHEAST,401
SOUTH,402
MIDWEST,403
NORTHEAST,404
NORTHEAST,405
NORTHEAST,406
NORTHEAST,407
MIDWEST,408
NORTHEAST,409
NORTHEAST,410
SOUTH,411
NORTHEAST,412
NORTHEAST,413
SOUTH,414
NORTHEAST,415
NORTHEAST,416
SOUTH,417
SOUTH,418
NORTHEAST,419
NORTHEAST,420
SOUTH,421
NORTHEAST,422
NORTHEAST,423
NORTHEAST,424
NORTHEAST,425
NORTHEAST,426
NORTHEAST,427
SOUTH,428
SOUTH,429
MIDWEST,430
NORTHEAST,431
SOUTH,432
MIDWEST,433
NORTHEAST,434
SOUTH,435
MIDWEST,436
SOUTH,437
NORTHEAST,438
NORTHEAST,439
SOUTH,440
SOUTH,441
NORTHEAST,442
NORTHEAST,443
SOUTH,444
NORTHEAST,445
SOUTH,446
NORTHEAST,447
MIDWEST,448
NORTHEAST,449
NORTHEAST,450
NORTHEAST,451
SOUTH,452
SOUTH,453
WEST,454
SOUTH,455
NORTHEAST,456
NORTHEAST,457
SOUTH,458
MIDWEST,459
SOUTH,460
NORTHEAST,461
NORTHEAST,462
SOUTH,463
NORTHEAST,464
SOUTH,465
NORTHEAST,466
SOUTH,467
SOUTH,468
NORTHEAST,469
NORTHEAST,470
SOUTH,471
NORTHEAST,472
NORTHEAST,473
SOUTH,474
SOUTH,475
NORTHEAST,476
NORTHEAST,477
NORTHEAST,478
MIDWEST,479
SOUTH,480
SOUTH,481
NORTHEAST,482
SOUTH,483
MIDWEST,484
SOUTH,485
NORTHEAST,486
WEST,487
NORTHEAST,488
MIDWEST,489
WEST,490
NORTHEAST,491
NORTHEAST,492
SOUTH,493
SOUTH,494
SOUTH,495
SOUTH,496
MIDWEST,497
NORTHEAST,498
NORTHEAST,499
NORTHEAST,500
SOUTH,501
NORTHEAST,502
SOUTH,503
MIDWEST,504
SOUTH,505
NORTHEAST,506
SOUTH,507
SOUTH,508
WEST,509
SOUTH,510
SOUTH,511
SOUTH,512
NORTHEAST,513
NORTHEAST,514
NORTHEAST,515
SOUTH,516
SOUTH,517
NORTHEAST,518
NORTHEAST,519
SOUTH,520
SOUTH,521
WEST,522
NORTHEAST,523
NORTHEAST,524
MIDWEST,525
WEST,526
NORTHEAST,527
SOUTH,528
SOUTH,529
SOUTH,530
MIDWEST,531
SOUTH,532
NORTHEAST,533
NORTHEAST,534
NORTHEAST,535
SOUTH,536
SOUTH,537
NORTHEAST,538
MIDWEST,539
NORTHEAST,540
SOUTH,541
SOUTH,542
SOUTH,543
NORTHEAST,544
NORTHEAST,545
NORTHEAST,546
NORTHEAST,547
NORTHEAST,548
MIDWEST,549
NORTHEAST,550
WEST,551
NORTHEAST,552
SOUTH,553
SOUTH,554
NORTHEAST,555
SOUTH,556
SOUTH,557
NORTHEAST,558
NORTHEAST,559
