region,id
NORTHEAST,1
SOUTH,2
SOUTH,3
SOUTH,4
SOUTH,5
SOUTH,6
MIDWEST,7
NORTHEAST,8
NORTHEAST,9
SOUTH,10
SOUTH,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
SOUTH,15
SOUTH,16
SOUTH,17
MIDWEST,18
SOUTH,19
NORTHEAST,20
SOUTH,21
SOUTH,22
SOUTH,23
SOUTH,24
NORTHEAST,25
SOUTH,26
SOUTH,27
NORTHEAST,28
NORTHEAST,29
SOUTH,30
SOUTH,31
MIDWEST,32
SOUTH,33
NORTHEAST,34
SOUTH,35
NORTHEAST,36
NORTHEAST,37
NORTHEAST,38
WEST,39
WEST,40
SOUTH,41
NORTHEAST,42
SOUTH,43
SOUTH,44
NORTHEAST,45
SOUTH,46
MIDWEST,47
SOUTH,48
SOUTH,49
SOUTH,50
NORTHEAST,51
SOUTH,52
SOUTH,53
NORTHEAST,54
SOUTH,55
NORTHEAST,56
SOUTH,57
WEST,58
SOUTH,59
SOUTH,60
SOUTH,61
NORTHEAST,62
SOUTH,63
NORTHEAST,64
MIDWEST,65
SOUTH,66
SOUTH,67
NORTHEAST,68
SOUTH,69
NORTHEAST,70
NORTHEAST,71
SOUTH,72
SOUTH,73
NORTHEAST,74
SOUTH,75
NORTHEAST,76
SOUTH,77
NORTHEAST,78
MIDWEST,79
SOUTH,80
MIDWEST,81
NORTHEAST,82
SOUTH,83
NORTHEAST,84
NORTHEAST,85
NORTHEAST,86
SOUTH,87
SOUTH,88
SOUTH,89
NORTHEAST,90
MIDWEST,91
MIDWEST,92
SOUTH,93
NORTHEAST,94
MIDWEST,95
SOUTH,96
NORTHEAST,97
SOUTH,98
NORTHEAST,99
NORTHEAST,100
NORTHEAST,101
MIDWEST,102
NORTHEAST,103
SOUTH,104
NORTHEAST,105
NORTHEAST,106
SOUTH,107
NORTHEAST,108
NORTHEAST,109
NORTHEAST,110
SOUTH,111
NORTHEAST,112
NORTHEAST,113
NORTHEAST,114
WEST,115
SOUTH,116
NORTHEAST,117
SOUTH,118
NORTHEAST,119
NORTHEAST,120
MIDWEST,121
SOUTH,122
SOUTH,123
SOUTH,124
NORTHEAST,125
NORTHEAST,126
SOUTH,127
NORTHEAST,128
SOUTH,129
SOUTH,130
SOUTH,131
NORTHEAST,132
MIDWEST,133
NORTHEAST,134
NORTHEAST,135
NORTHEAST,136
SOUTH,137
SOUTH,138
SOUTH,139
SOUTH,140
SOUTH,141
NORTHEAST,142
MIDWEST,143
NORTHEAST,144
MIDWEST,145
MIDWEST,146
MIDWEST,147
SOUTH,148
NORTHEAST,149
SOUTH,150
NORTHEAST,151
SOUTH,152
SOUTH,153
SOUTH,154
MIDWEST,155
SOUTH,156
SOUTH,157
NORTHEAST,158
SOUTH,159
WEST,160
SOUTH,161
SOUTH,162
NORTHEAST,163
NORTHEAST,164
SOUTH,165
MIDWEST,166
NORTHEAST,167
NORTHEAST,168
NORTHEAST,169
NORTHEAST,170
SOUTH,171
NORTHEAST,172
NORTHEAST,173
NORTHEAST,174
SOUTH,175
NORTHEAST,176
SOUTH,177
SOUTH,178
NORTHEAST,179
SOUTH,180
SOUTH,181
MIDWEST,182
NORTHEAST,183
NORTHEAST,184
WEST,185
NORTHEAST,186
NORTHEAST,187
MIDWEST,188
NORTHEAST,189
NORTHEAST,190
NORTHEAST,191
MIDWEST,192
MIDWEST,193
NORTHEAST,194
NORTHEAST,195
NORTHEAST,196
NORTHEAST,197
SOUTH,198
NORTHEAST,199
NORTHEAST,200
NORTHEAST,201
NORTHEAST,202
NORTHEAST,203
NORTHEAST,204
NORTHEAST,205
NORTHEAST,206
NORTHEAST,207
SOUTH,208
NORTHEAST,209
MIDWEST,210
NORTHEAST,211
SOUTH,212
NORTHEAST,213
WEST,214
NORTHEAST,215
SOUTH,216
WEST,217
SOUTH,218
SOUTH,219
SOUTH,220
NORTHEAST,221
NORTHEAST,222
SOUTH,223
NORTHEAST,224
NORTHEAST,225
NORTHEAST,226
SOUTH,227
NORTHEAST,228
NORTHEAST,229
MIDWEST,230
NORTHEAST,231
WEST,232
WEST,233
NORTHEAST,234
NORTHEAST,235
NORTHEAST,236
NORTHEAST,237
NORTHEAST,238
NORTHEAST,239
SOUTH,240
SOUTH,241
NORTHEAST,242
SOUTH,243
SOUTH,244
SOUTH,245
WEST,246
NORTHEAST,247
NORTHEAST,248
NORTHEAST,249
NORTHEAST,250
NORTHEAST,251
NORTHEAST,252
MIDWEST,253
MIDWEST,254
SOUTH,255
SOUTH,256
NORTHEAST,257
MIDWEST,258
SOUTH,259
MIDWEST,260
NORTHEAST,261
NORTHEAST,262
SOUTH,263
SOUTH,264
NORTHEAST,265
SOUTH,266
NORTHEAST,267
NORTHEAST,268
SOUTH,269
WEST,270
SOUTH,271
SOUTH,272
SOUTH,273
NORTHEAST,274
NORTHEAST,275
SOUTH,276
MIDWEST,277
SOUTH,278
SOUTH,279
NORTHEAST,280
NORTHEAST,281
MIDWEST,282
SOUTH,283
NORTHEAST,284
SOUTH,285
SOUTH,286
NORTHEAST,287
SOUTH,288
SOUTH,289
NORTHEAST,290
NORTHEAST,291
SOUTH,292
NORTHEAST,293
NORTHEAST,294
SOUTH,295
NORTHEAST,296
SOUTH,297
SOUTH,298
NORTHEAST,299
NORTHEAST,300
NORTHEAST,301
SOUTH,302
NORTHEAST,303
NORTHEAST,304
NORTHEAST,305
NORTHEAST,306
NORTHEAST,307
SOUTH,308
NORTHEAST,309
SOUTH,310
MIDWEST,311
WEST,312
MIDWEST,313
SOUTH,314
SOUTH,315
SOUTH,316
SOUTH,317
NORTHEAST,318
SOUTH,319
SOUTH,320
NORTHEAST,321
SOUTH,322
SOUTH,323
NORTHEAST,324
MIDWEST,325
NORTHEAST,326
MIDWEST,327
SOUTH,328
SOUTH,329
NORTHEAST,330
NORTHEAST,331
NORTHEAST,332
NORTHEAST,333
NORTHEAST,334
NORTHEAST,335
NORTHEAST,336
SOUTH,337
NORTHEAST,338
MIDWEST,339
MIDWEST,340
NORTHEAST,341
NORTHEAST,342
MIDWEST,343
MIDWEST,344
SOUTH,345
NORTHEAST,346
MIDWEST,347
SOUTH,348
NORTHEAST,349
MIDWEST,350
SOUTH,351
SOUTH,352
SOUTH,353
NORTHEAST,354
MIDWEST,355
SOUTH,356
NORTHEAST,357
SOUTH,358
SOUTH,359
WEST,360
SOUTH,361
MIDWEST,362
MIDWEST,363
NORTHEAST,364
SOUTH,365
WEST,366
NORTHEAST,367
SOUTH,368
NORTHEAST,369
SOUTH,370
MIDWEST,371
SOUTH,372
NORTHEAST,373
NORTHEAST,374
MIDWEST,375
MIDWEST,376
SOUTH,377
NORTHEAST,378
SOUTH,379
NORTHEAST,380
SOUTH,381
NORTHEAST,382
NORTHEAST,383
SOUTH,384
SOUTH,385
SOUTH,386
NORTHEAST,387
MIDWEST,388
SOUTH,389
NORTHEAST,390
NORTHEAST,391
NORTHEAST,392
NORTHEAST,393
NORTHEAST,394
NORTHEAST,395
MIDWEST,396
NORTHEAST,397
NORTHEAST,398
NORTHEAST,399
NORTHEAST,400
NORTHEAST,401
NORTHEAST,402
SOUTH,403
NORTHEAST,404
NORTHEAST,405
NORTHEAST,406
MIDWEST,407
NORTHEAST,408
SOUTH,409
NORTHEAST,410
SOUTH,411
NORTHEAST,412
NORTHEAST,413
MIDWEST,414
NORTHEAST,415
NORTHEAST,416
SOUTH,417
NORTHEAST,418
NORTHEAST,419
NORTHEAST,420
NORTHEAST,421
NORTHEAST,422
NORTHEAST,423
SOUTH,424
NORTHEAST,425
NORTHEAST,426
NORTHEAST,427
SOUTH,428
NORTHEAST,429
WEST,430
NORTHEAST,431
NORTHEAST,432
NORTHEAST,433
SOUTH,434
NORTHEAST,435
NORTHEAST,436
SOUTH,437
NORTHEAST,438
SOUTH,439
SOUTH,440
SOUTH,441
MIDWEST,442
SOUTH,443
SOUTH,444
NORTHEAST,445
NORTHEAST,446
NORTHEAST,447
NORTHEAST,448
NORTHEAST,449
SOUTH,450
MIDWEST,451
SOUTH,452
NORTHEAST,453
SOUTH,454
SOUTH,455
NORTHEAST,456
NORTHEAST,457
SOUTH,458
MIDWEST,459
MIDWEST,460
WEST,461
NORTHEAST,462
NORTHEAST,463
NORTHEAST,464
SOUTH,465
NORTHEAST,466
NORTHEAST,467
SOUTH,468
NORTHEAST,469
NORTHEAST,470
WEST,471
NORTHEAST,472
SOUTH,473
SOUTH,474
SOUTH,475
SOUTH,476
NORTHEAST,477
NORTHEAST,478
SOUTH,479
SOUTH,480
SOUTH,481
MIDWEST,482
NORTHEAST,483
NORTHEAST,484
SOUTH,485
SOUTH,486
WEST,487
NORTHEAST,488
SOUTH,489
NORTHEAST,490
NORTHEAST,491
NORTHEAST,492
SOUTH,493
SOUTH,494
NORTHEAST,495
SOUTH,496
NORTHEAST,497
SOUTH,498
NORTHEAST,499
SOUTH,500
SOUTH,501
MIDWEST,502
SOUTH,503
NORTHEAST,504
NORTHEAST,505
NORTHEAST,506
SOUTH,507
NORTHEAST,508
SOUTH,509
SOUTH,510
SOUTH,511
SOUTH,512
MIDWEST,513
WEST,514
SOUTH,515
NORTHEAST,516
MIDWEST,517
NORTHEAST,518
NORTHEAST,519
NORTHEAST,520
SOUTH,521
WEST,522
SOUTH,523
NORTHEAST,524
SOUTH,525
NORTHEAST,526
NORTHEAST,527
NORTHEAST,528
NORTHEAST,529
SOUTH,530
SOUTH,531
NORTHEAST,532
SOUTH,533
SOUTH,534
NORTHEAST,535
SOUTH,536
SOUTH,537
SOUTH,538
SOUTH,539
NORTHEAST,540
MIDWEST,541
NORTHEAST,542
NORTHEAST,543
NORTHEAST,544
SOUTH,545
NORTHEAST,546
MIDWEST,547
NORTHEAST,548
SOUTH,549
NORTHEAST,550
NORTHEAST,551
MIDWEST,552
SOUTH,553
SOUTH,554
SOUTH,555
SOUTH,556
SOUTH,557
SOUTH,558
SOUTH,559
SOUTH,560
NORTHEAST,561
SOUTH,562
NORTHEAST,563
NORTHEAST,564
SOUTH,565
SOUTH,566
SOUTH,567
NORTHEAST,568
SOUTH,569
SOUTH,570
SOUTH,571
SOUTH,572
NORTHEAST,573
SOUTH,574
SOUTH,575
SOUTH,576
SOUTH,577
WEST,578
SOUTH,579
MIDWEST,580
SOUTH,581
NORTHEAST,582
SOUTH,583
NORTHEAST,584
SOUTH,585
SOUTH,586
NORTHEAST,587
SOUTH,588
SOUTH,589
MIDWEST,590
NORTHEAST,591
SOUTH,592
SOUTH,593
MIDWEST,594
SOUTH,595
NORTHEAST,596
NORTHEAST,597
SOUTH,598
SOUTH,599
NORTHEAST,600
SOUTH,601
SOUTH,602
SOUTH,603
SOUTH,604
MIDWEST,605
NORTHEAST,606
NORTHEAST,607
SOUTH,608
SOUTH,609
NORTHEAST,610
NORTHEAST,611
NORTHEAST,612
SOUTH,613
NORTHEAST,614
NORTHEAST,615
NORTHEAST,616
SOUTH,617
SOUTH,618
SOUTH,619
SOUTH,620
NORTHEAST,621
NORTHEAST,622
SOUTH,623
NORTHEAST,624
MIDWEST,625
MIDWEST,626
NORTHEAST,627
NORTHEAST,628
SOUTH,629
NORTHEAST,630
NORTHEAST,631
NORTHEAST,632
SOUTH,633
MIDWEST,634
NORTHEAST,635
NORTHEAST,636
MIDWEST,637
NORTHEAST,638
NORTHEAST,639
NORTHEAST,640
NORTHEAST,641
NORTHEAST,642
SOUTH,643
MIDWEST,644
SOUTH,645
MIDWEST,646
NORTHEAST,647
NORTHEAST,648
SOUTH,649
SOUTH,650
SOUTH,651
NORTHEAST,652
MIDWEST,653
SOUTH,654
SOUTH,655
SOUTH,656
SOUTH,657
SOUTH,658
NORTHEAST,659
SOUTH,660
SOUTH,661
NORTHEAST,662
SOUTH,663
SOUTH,664
SOUTH,665
WEST,666
WEST,667
MIDWEST,668
SOUTH,669
MIDWEST,670
NORTHEAST,671
SOUTH,672
SOUTH,673
NORTHEAST,674
SOUTH,675
MIDWEST,676
NORTHEAST,677
SOUTH,678
MIDWEST,679
NORTHEAST,680
SOUTH,681
SOUTH,682
MIDWEST,683
SOUTH,684
SOUTH,685
MIDWEST,686
NORTHEAST,687
SOUTH,688
SOUTH,689
NORTHEAST,690
NORTHEAST,691
SOUTH,692
SOUTH,693
NORTHEAST,694
WEST,695
NORTHEAST,696
SOUTH,697
WEST,698
SOUTH,699
NORTHEAST,700
NORTHEAST,701
NORTHEAST,702
SOUTH,703
NORTHEAST,704
MIDWEST,705
SOUTH,706
MIDWEST,707
MIDWEST,708
SOUTH,709
WEST,710
SOUTH,711
NORTHEAST,712
SOUTH,713
SOUTH,714
MIDWEST,715
NORTHEAST,716
MIDWEST,717
SOUTH,718
SOUTH,719
WEST,720
SOUTH,721
NORTHEAST,722
SOUTH,723
MIDWEST,724
NORTHEAST,725
NORTHEAST,726
NORTHEAST,727
WEST,728
NORTHEAST,729
NORTHEAST,730
SOUTH,731
SOUTH,732
NORTHEAST,733
SOUTH,734
SOUTH,735
SOUTH,736
NORTHEAST,737
SOUTH,738
SOUTH,739
NORTHEAST,740
NORTHEAST,741
MIDWEST,742
NORTHEAST,743
NORTHEAST,744
NORTHEAST,745
SOUTH,746
SOUTH,747
NORTHEAST,748
NORTHEAST,749
SOUTH,750
NORTHEAST,751
SOUTH,752
SOUTH,753
SOUTH,754
NORTHEAST,755
SOUTH,756
SOUTH,757
NORTHEAST,758
SOUTH,759
SOUTH,760
NORTHEAST,761
SOUTH,762
NORTHEAST,763
NORTHEAST,764
NORTHEAST,765
SOUTH,766
SOUTH,767
SOUTH,768
SOUTH,769
SOUTH,770
NORTHEAST,771
SOUTH,772
NORTHEAST,773
SOUTH,774
SOUTH,775
MIDWEST,776
SOUTH,777
NORTHEAST,778
SOUTH,779
SOUTH,780
NORTHEAST,781
SOUTH,782
NORTHEAST,783
SOUTH,784
NORTHEAST,785
SOUTH,786
NORTHEAST,787
SOUTH,788
SOUTH,789
SOUTH,790
MIDWEST,791
WEST,792
NORTHEAST,793
NORTHEAST,794
SOUTH,795
SOUTH,796
NORTHEAST,797
SOUTH,798
NORTHEAST,799
SOUTH,800
SOUTH,801
NORTHEAST,802
NORTHEAST,803
SOUTH,804
SOUTH,805
NORTHEAST,806
NORTHEAST,807
NORTHEAST,808
MIDWEST,809
NORTHEAST,810
NORTHEAST,811
NORTHEAST,812
SOUTH,813
SOUTH,814
NORTHEAST,815
NORTHEAST,816
SOUTH,817
SOUTH,818
SOUTH,819
MIDWEST,820
SOUTH,821
NORTHEAST,822
SOUTH,823
NORTHEAST,824
SOUTH,825
SOUTH,826
SOUTH,827
NORTHEAST,828
NORTHEAST,829
SOUTH,830
SOUTH,831
SOUTH,832
NORTHEAST,833
NORTHEAST,834
SOUTH,835
SOUTH,836
NORTHEAST,837
NORTHEAST,838
MIDWEST,839
SOUTH,840
SOUTH,841
SOUTH,842
NORTHEAST,843
NORTHEAST,844
SOUTH,845
SOUTH,846
SOUTH,847
SOUTH,848
SOUTH,849
SOUTH,850
WEST,851
NORTHEAST,852
NORTHEAST,853
NORTHEAST,854
NORTHEAST,855
NORTHEAST,856
NORTHEAST,857
NORTHEAST,858
SOUTH,859
SOUTH,860
NORTHEAST,861
SOUTH,862
SOUTH,863
NORTHEAST,864
NORTHEAST,865
NORTHEAST,866
MIDWEST,867
SOUTH,868
MIDWEST,869
SOUTH,870
NORTHEAST,871
NORTHEAST,872
SOUTH,873
MIDWEST,874
SOUTH,875
MIDWEST,876
SOUTH,877
MIDWEST,878
SOUTH,879
NORTHEAST,880
MIDWEST,881
SOUTH,882
SOUTH,883
NORTHEAST,884
MIDWEST,885
SOUTH,886
NORTHEAST,887
NORTHEAST,888
NORTHEAST,889
NORTHEAST,890
NORTHEAST,891
SOUTH,892
SOUTH,893
SOUTH,894
MIDWEST,895
NORTHEAST,896
MIDWEST,897
WEST,898
SOUTH,899
NORTHEAST,900
MIDWEST,901
NORTHEAST,902
SOUTH,903
NORTHEAST,904
NORTHEAST,905
NORTHEAST,906
NORTHEAST,907
NORTHEAST,908
NORTHEAST,909
MIDWEST,910
SOUTH,911
NORTHEAST,912
