region,id
SOUTH,1
SOUTH,2
SOUTH,3
SOUTH,4
NORTHEAST,5
NORTHEAST,6
NORTHEAST,7
NORTHEAST,8
NORTHEAST,9
SOUTH,10
SOUTH,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
SOUTH,15
SOUTH,16
NORTHEAST,17
SOUTH,18
NORTHEAST,19
SOUTH,20
NORTHEAST,21
SOUTH,22
NORTHEAST,23
NORTHEAST,24
SOUTH,25
NORTHEAST,26
NORTHEAST,27
SOUTH,28
NORTHEAST,29
NORTHEAST,30
SOUTH,31
SOUTH,32
NORTHEAST,33
NORTHEAST,34
SOUTH,35
SOUTH,36
NORTHEAST,37
NORTHEAST,38
NORTHEAST,39
NORTHEAST,40
SOUTH,41
NORTHEAST,42
NORTHEAST,43
SOUTH,44
SOUTH,45
NORTHEAST,46
NORTHEAST,47
SOUTH,48
NORTHEAST,49
SOUTH,50
SOUTH,51
NORTHEAST,52
NORTHEAST,53
SOUTH,54
NORTHEAST,55
NORTHEAST,56
NORTHEAST,57
SOUTH,58
NORTHEAST,59
SOUTH,60
NORTHEAST,61
NORTHEAST,62
NORTHEAST,63
NORTHEAST,64
NORTHEAST,65
NORTHEAST,66
NORTHEAST,67
SOUTH,68
SOUTH,69
NORTHEAST,70
NORTHEAST,71
SOUTH,72
NORTHEAST,73
SOUTH,74
SOUTH,75
SOUTH,76
SOUTH,77
NORTHEAST,78
NORTHEAST,79
NORTHEAST,80
NORTHEAST,81
NORTHEAST,82
SOUTH,83
SOUTH,84
SOUTH,85
NORTHEAST,86
NORTHEAST,87
SOUTH,88
SOUTH,89
NORTHEAST,90
NORTHEAST,91
NORTHEAST,92
SOUTH,93
NORTHEAST,94
SOUTH,95
NORTHEAST,96
NORTHEAST,97
NORTHEAST,98
NORTHEAST,99
NORTHEAST,100
SOUTH,101
NORTHEAST,102
NORTHEAST,103
NORTHEAST,104
NORTHEAST,105
NORTHEAST,106
NORTHEAST,107
NORTHEAST,108
NORTHEAST,109
SOUTH,110
NORTHEAST,111
NORTHEAST,112
NORTHEAST,113
NORTHEAST,114
SOUTH,115
NORTHEAST,116
NORTHEAST,117
SOUTH,118
SOUTH,119
NORTHEAST,120
SOUTH,121
NORTHEAST,122
NORTHEAST,123
NORTHEAST,124
SOUTH,125
NORTHEAST,126
SOUTH,127
NORTHEAST,128
NORTHEAST,129
SOUTH,130
SOUTH,131
NORTHEAST,132
NORTHEAST,133
SOUTH,134
NORTHEAST,135
SOUTH,136
SOUTH,137
NORTHEAST,138
NORTHEAST,139
NORTHEAST,140
SOUTH,141
NORTHEAST,142
SOUTH,143
SOUTH,144
SOUTH,145
SOUTH,146
SOUTH,147
NORTHEAST,148
SOUTH,149
SOUTH,150
SOUTH,151
SOUTH,152
SOUTH,153
SOUTH,154
SOUTH,155
SOUTH,156
NORTHEAST,157
SOUTH,158
SOUTH,159
SOUTH,160
NORTHEAST,161
SOUTH,162
NORTHEAST,163
NORTHEAST,164
NORTHEAST,165
NORTHEAST,166
SOUTH,167
SOUTH,168
NORTHEAST,169
NORTHEAST,170
SOUTH,171
NORTHEAST,172
SOUTH,173
NORTHEAST,174
NORTHEAST,175
SOUTH,176
NORTHEAST,177
SOUTH,178
SOUTH,179
NORTHEAST,180
SOUTH,181
SOUTH,182
NORTHEAST,183
NORTHEAST,184
SOUTH,185
SOUTH,186
NORTHEAST,187
NORTHEAST,188
SOUTH,189
SOUTH,190
SOUTH,191
SOUTH,192
