region,id
MIDWEST,1
MIDWEST,2
MIDWEST,3
NORTHEAST,4
NORTHEAST,5
MIDWEST,6
NORTHEAST,7
MIDWEST,8
MIDWEST,9
MIDWEST,10
NORTHEAST,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
MIDWEST,15
MIDWEST,16
NORTHEAST,17
MIDWEST,18
MIDWEST,19
MIDWEST,20
MIDWEST,21
MIDWEST,22
NORTHEAST,23
NORTHEAST,24
MIDWEST,25
MIDWEST,26
MIDWEST,27
MIDWEST,28
MIDWEST,29
MIDWEST,30
MIDWEST,31
MIDWEST,32
MIDWEST,33
NORTHEAST,34
MIDWEST,35
MIDWEST,36
MIDWEST,37
NORTHEAST,38
NORTHEAST,39
MIDWEST,40
SOUTH,41
MIDWEST,42
NORTHEAST,43
MIDWEST,44
MIDWEST,45
MIDWEST,46
MIDWEST,47
NORTHEAST,48
NORTHEAST,49
MIDWEST,50
MIDWEST,51
MIDWEST,52
NORTHEAST,53
MIDWEST,54
MIDWEST,55
MIDWEST,56
MIDWEST,57
MIDWEST,58
MIDWEST,59
MIDWEST,60
MIDWEST,61
NORTHEAST,62
SOUTH,63
NORTHEAST,64
MIDWEST,65
MIDWEST,66
MIDWEST,67
MIDWEST,68
MIDWEST,69
MIDWEST,70
MIDWEST,71
MIDWEST,72
NORTHEAST,73
MIDWEST,74
MIDWEST,75
MIDWEST,76
MIDWEST,77
NORTHEAST,78
MIDWEST,79
MIDWEST,80
MIDWEST,81
NORTHEAST,82
SOUTH,83
MIDWEST,84
NORTHEAST,85
MIDWEST,86
NORTHEAST,87
MIDWEST,88
MIDWEST,89
NORTHEAST,90
SOUTH,91
MIDWEST,92
MIDWEST,93
MIDWEST,94
MIDWEST,95
NORTHEAST,96
MIDWEST,97
NORTHEAST,98
NORTHEAST,99
NORTHEAST,100
MIDWEST,101
MIDWEST,102
MIDWEST,103
MIDWEST,104
NORTHEAST,105
MIDWEST,106
MIDWEST,107
NORTHEAST,108
MIDWEST,109
MIDWEST,110
MIDWEST,111
NORTHEAST,112
MIDWEST,113
MIDWEST,114
MIDWEST,115
MIDWEST,116
NORTHEAST,117
SOUTH,118
MIDWEST,119
NORTHEAST,120
MIDWEST,121
NORTHEAST,122
NORTHEAST,123
NORTHEAST,124
MIDWEST,125
NORTHEAST,126
NORTHEAST,127
MIDWEST,128
MIDWEST,129
MIDWEST,130
NORTHEAST,131
MIDWEST,132
MIDWEST,133
MIDWEST,134
MIDWEST,135
MIDWEST,136
MIDWEST,137
MIDWEST,138
MIDWEST,139
MIDWEST,140
NORTHEAST,141
MIDWEST,142
MIDWEST,143
NORTHEAST,144
NORTHEAST,145
MIDWEST,146
