region,id
SOUTH,1
SOUTH,2
SOUTH,3
NORTHEAST,4
NORTHEAST,5
SOUTH,6
NORTHEAST,7
SOUTH,8
NORTHEAST,9
SOUTH,10
NORTHEAST,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
SOUTH,15
SOUTH,16
NORTHEAST,17
SOUTH,18
SOUTH,19
SOUTH,20
SOUTH,21
SOUTH,22
NORTHEAST,23
NORTHEAST,24
SOUTH,25
SOUTH,26
SOUTH,27
SOUTH,28
SOUTH,29
SOUTH,30
NORTHEAST,31
SOUTH,32
SOUTH,33
NORTHEAST,34
SOUTH,35
SOUTH,36
SOUTH,37
NORTHEAST,38
NORTHEAST,39
SOUTH,40
NORTHEAST,41
SOUTH,42
NORTHEAST,43
SOUTH,44
NORTHEAST,45
NORTHEAST,46
SOUTH,47
NORTHEAST,48
NORTHEAST,49
NORTHEAST,50
NORTHEAST,51
NORTHEAST,52
NORTHEAST,53
SOUTH,54
SOUTH,55
SOUTH,56
SOUTH,57
SOUTH,58
NORTHEAST,59
NORTHEAST,60
SOUTH,61
NORTHEAST,62
SOUTH,63
NORTHEAST,64
NORTHEAST,65
SOUTH,66
SOUTH,67
NORTHEAST,68
SOUTH,69
SOUTH,70
SOUTH,71
SOUTH,72
NORTHEAST,73
NORTHEAST,74
SOUTH,75
SOUTH,76
SOUTH,77
NORTHEAST,78
SOUTH,79
SOUTH,80
NORTHEAST,81
NORTHEAST,82
NORTHEAST,83
SOUTH,84
NORTHEAST,85
SOUTH,86
NORTHEAST,87
SOUTH,88
SOUTH,89
NORTHEAST,90
SOUTH,91
SOUTH,92
SOUTH,93
SOUTH,94
NORTHEAST,95
NORTHEAST,96
SOUTH,97
NORTHEAST,98
NORTHEAST,99
NORTHEAST,100
SOUTH,101
NORTHEAST,102
SOUTH,103
SOUTH,104
NORTHEAST,105
NORTHEAST,106
SOUTH,107
NORTHEAST,108
SOUTH,109
SOUTH,110
NORTHEAST,111
NORTHEAST,112
SOUTH,113
SOUTH,114
SOUTH,115
SOUTH,116
NORTHEAST,117
NORTHEAST,118
SOUTH,119
NORTHEAST,120
SOUTH,121
NORTHEAST,122
NORTHEAST,123
NORTHEAST,124
NORTHEAST,125
NORTHEAST,126
NORTHEAST,127
SOUTH,128
SOUTH,129
NORTHEAST,130
NORTHEAST,131
NORTHEAST,132
SOUTH,133
NORTHEAST,134
NORTHEAST,135
SOUTH,136
NORTHEAST,137
SOUTH,138
SOUTH,139
NORTHEAST,140
NORTHEAST,141
NORTHEAST,142
NORTHEAST,143
NORTHEAST,144
NORTHEAST,145
NORTHEAST,146
NORTHEAST,147
SOUTH,148
SOUTH,149
SOUTH,150
NORTHEAST,151
SOUTH,152
NORTHEAST,153
SOUTH,154
SOUTH,155
SOUTH,156
SOUTH,157
SOUTH,158
SOUTH,159
SOUTH,160
SOUTH,161
SOUTH,162
NORTHEAST,163
SOUTH,164
NORTHEAST,165
SOUTH,166
SOUTH,167
NORTHEAST,168
NORTHEAST,169
SOUTH,170
SOUTH,171
SOUTH,172
NORTHEAST,173
SOUTH,174
SOUTH,175
SOUTH,176
SOUTH,177
NORTHEAST,178
SOUTH,179
SOUTH,180
SOUTH,181
SOUTH,182
NORTHEAST,183
SOUTH,184
NORTHEAST,185
SOUTH,186
SOUTH,187
NORTHEAST,188
NORTHEAST,189
SOUTH,190
NORTHEAST,191
SOUTH,192
NORTHEAST,193
SOUTH,194
NORTHEAST,195
SOUTH,196
SOUTH,197
