region,id
SOUTH,1
SOUTH,2
SOUTH,3
SOUTH,4
SOUTH,5
NORTHEAST,6
SOUTH,7
SOUTH,8
NORTHEAST,9
SOUTH,10
SOUTH,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
SOUTH,15
SOUTH,16
SOUTH,17
SOUTH,18
NORTHEAST,19
SOUTH,20
SOUTH,21
NORTHEAST,22
SOUTH,23
SOUTH,24
NORTHEAST,25
SOUTH,26
SOUTH,27
SOUTH,28
SOUTH,29
NORTHEAST,30
SOUTH,31
SOUTH,32
SOUTH,33
NORTHEAST,34
SOUTH,35
SOUTH,36
NORTHEAST,37
SOUTH,38
SOUTH,39
NORTHEAST,40
SOUTH,41
SOUTH,42
NORTHEAST,43
NORTHEAST,44
NORTHEAST,45
NORTHEAST,46
SOUTH,47
SOUTH,48
NORTHEAST,49
NORTHEAST,50
SOUTH,51
NORTHEAST,52
SOUTH,53
SOUTH,54
NORTHEAST,55
NORTHEAST,56
SOUTH,57
SOUTH,58
SOUTH,59
SOUTH,60
SOUTH,61
NORTHEAST,62
NORTHEAST,63
NORTHEAST,64
SOUTH,65
NORTHEAST,66
SOUTH,67
SOUTH,68
SOUTH,69
NORTHEAST,70
NORTHEAST,71
SOUTH,72
NORTHEAST,73
SOUTH,74
NORTHEAST,75
SOUTH,76
NORTHEAST,77
NORTHEAST,78
NORTHEAST,79
NORTHEAST,80
SOUTH,81
SOUTH,82
SOUTH,83
NORTHEAST,84
NORTHEAST,85
NORTHEAST,86
SOUTH,87
SOUTH,88
SOUTH,89
NORTHEAST,90
NORTHEAST,91
NORTHEAST,92
SOUTH,93
SOUTH,94
SOUTH,95
SOUTH,96
NORTHEAST,97
NORTHEAST,98
SOUTH,99
NORTHEAST,100
SOUTH,101
NORTHEAST,102
NORTHEAST,103
SOUTH,104
NORTHEAST,105
SOUTH,106
SOUTH,107
NORTHEAST,108
SOUTH,109
SOUTH,110
NORTHEAST,111
SOUTH,112
NORTHEAST,113
NORTHEAST,114
NORTHEAST,115
SOUTH,116
NORTHEAST,117
SOUTH,118
SOUTH,119
NORTHEAST,120
SOUTH,121
WEST,122
NORTHEAST,123
NORTHEAST,124
NORTHEAST,125
SOUTH,126
NORTHEAST,127
SOUTH,128
SOUTH,129
NORTHEAST,130
SOUTH,131
SOUTH,132
NORTHEAST,133
NORTHEAST,134
SOUTH,135
NORTHEAST,136
SOUTH,137
SOUTH,138
NORTHEAST,139
SOUTH,140
SOUTH,141
NORTHEAST,142
NORTHEAST,143
SOUTH,144
SOUTH,145
SOUTH,146
SOUTH,147
SOUTH,148
SOUTH,149
SOUTH,150
SOUTH,151
NORTHEAST,152
SOUTH,153
SOUTH,154
SOUTH,155
SOUTH,156
SOUTH,157
SOUTH,158
SOUTH,159
SOUTH,160
SOUTH,161
NORTHEAST,162
SOUTH,163
NORTHEAST,164
SOUTH,165
SOUTH,166
NORTHEAST,167
NORTHEAST,168
NORTHEAST,169
SOUTH,170
NORTHEAST,171
NORTHEAST,172
SOUTH,173
NORTHEAST,174
NORTHEAST,175
NORTHEAST,176
SOUTH,177
NORTHEAST,178
NORTHEAST,179
NORTHEAST,180
SOUTH,181
SOUTH,182
SOUTH,183
NORTHEAST,184
NORTHEAST,185
NORTHEAST,186
NORTHEAST,187
NORTHEAST,188
SOUTH,189
NORTHEAST,190
NORTHEAST,191
NORTHEAST,192
NORTHEAST,193
SOUTH,194
SOUTH,195
SOUTH,196
NORTHEAST,197
