region,id
SOUTH,1
SOUTH,2
SOUTH,3
WEST,4
SOUTH,5
SOUTH,6
SOUTH,7
SOUTH,8
NORTHEAST,9
SOUTH,10
NORTHEAST,11
SOUTH,12
SOUTH,13
SOUTH,14
SOUTH,15
SOUTH,16
NORTHEAST,17
SOUTH,18
SOUTH,19
SOUTH,20
SOUTH,21
SOUTH,22
SOUTH,23
SOUTH,24
SOUTH,25
SOUTH,26
NORTHEAST,27
SOUTH,28
SOUTH,29
SOUTH,30
NORTHEAST,31
SOUTH,32
SOUTH,33
SOUTH,34
SOUTH,35
SOUTH,36
SOUTH,37
SOUTH,38
NORTHEAST,39
SOUTH,40
SOUTH,41
SOUTH,42
SOUTH,43
SOUTH,44
NORTHEAST,45
NORTHEAST,46
SOUTH,47
SOUTH,48
SOUTH,49
NORTHEAST,50
NORTHEAST,51
NORTHEAST,52
NORTHEAST,53
SOUTH,54
SOUTH,55
SOUTH,56
SOUTH,57
SOUTH,58
NORTHEAST,59
NORTHEAST,60
SOUTH,61
SOUTH,62
SOUTH,63
SOUTH,64
SOUTH,65
SOUTH,66
SOUTH,67
NORTHEAST,68
SOUTH,69
SOUTH,70
SOUTH,71
NORTHEAST,72
SOUTH,73
NORTHEAST,74
SOUTH,75
SOUTH,76
SOUTH,77
SOUTH,78
SOUTH,79
SOUTH,80
NORTHEAST,81
NORTHEAST,82
SOUTH,83
SOUTH,84
WEST,85
SOUTH,86
SOUTH,87
SOUTH,88
SOUTH,89
SOUTH,90
SOUTH,91
SOUTH,92
SOUTH,93
SOUTH,94
NORTHEAST,95
SOUTH,96
SOUTH,97
NORTHEAST,98
SOUTH,99
SOUTH,100
SOUTH,101
NORTHEAST,102
SOUTH,103
SOUTH,104
SOUTH,105
NORTHEAST,106
SOUTH,107
SOUTH,108
SOUTH,109
SOUTH,110
NORTHEAST,111
NORTHEAST,112
SOUTH,113
SOUTH,114
SOUTH,115
SOUTH,116
SOUTH,117
SOUTH,118
SOUTH,119
SOUTH,120
SOUTH,121
SOUTH,122
SOUTH,123
SOUTH,124
SOUTH,125
WEST,126
SOUTH,127
SOUTH,128
SOUTH,129
NORTHEAST,130
SOUTH,131
NORTHEAST,132
NORTHEAST,133
SOUTH,134
NORTHEAST,135
SOUTH,136
NORTHEAST,137
SOUTH,138
SOUTH,139
NORTHEAST,140
NORTHEAST,141
NORTHEAST,142
NORTHEAST,143
NORTHEAST,144
WEST,145
NORTHEAST,146
NORTHEAST,147
SOUTH,148
SOUTH,149
SOUTH,150
WEST,151
SOUTH,152
NORTHEAST,153
SOUTH,154
SOUTH,155
SOUTH,156
SOUTH,157
SOUTH,158
SOUTH,159
SOUTH,160
SOUTH,161
SOUTH,162
NORTHEAST,163
SOUTH,164
NORTHEAST,165
NORTHEAST,166
SOUTH,167
SOUTH,168
NORTHEAST,169
SOUTH,170
SOUTH,171
SOUTH,172
WEST,173
SOUTH,174
SOUTH,175
SOUTH,176
SOUTH,177
NORTHEAST,178
SOUTH,179
SOUTH,180
SOUTH,181
SOUTH,182
WEST,183
SOUTH,184
NORTHEAST,185
SOUTH,186
NORTHEAST,187
NORTHEAST,188
NORTHEAST,189
SOUTH,190
SOUTH,191
SOUTH,192
NORTHEAST,193
SOUTH,194
NORTHEAST,195
SOUTH,196
SOUTH,197
SOUTH,198
SOUTH,199
NORTHEAST,200
SOUTH,201
SOUTH,202
SOUTH,203
NORTHEAST,204
WEST,205
SOUTH,206
SOUTH,207
SOUTH,208
