region,id
SOUTH,1
NORTHEAST,2
SOUTH,3
SOUTH,4
SOUTH,5
SOUTH,6
SOUTH,7
NORTHEAST,8
NORTHEAST,9
NORTHEAST,10
MIDWEST,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
SOUTH,15
NORTHEAST,16
SOUTH,17
NORTHEAST,18
NORTHEAST,19
NORTHEAST,20
SOUTH,21
SOUTH,22
SOUTH,23
SOUTH,24
SOUTH,25
NORTHEAST,26
NORTHEAST,27
NORTHEAST,28
NORTHEAST,29
NORTHEAST,30
NORTHEAST,31
SOUTH,32
MIDWEST,33
NORTHEAST,34
NORTHEAST,35
WEST,36
NORTHEAST,37
SOUTH,38
NORTHEAST,39
SOUTH,40
NORTHEAST,41
NORTHEAST,42
NORTHEAST,43
SOUTH,44
SOUTH,45
SOUTH,46
NORTHEAST,47
NORTHEAST,48
NORTHEAST,49
NORTHEAST,50
NORTHEAST,51
NORTHEAST,52
SOUTH,53
NORTHEAST,54
NORTHEAST,55
SOUTH,56
SOUTH,57
SOUTH,58
WEST,59
NORTHEAST,60
SOUTH,61
NORTHEAST,62
NORTHEAST,63
SOUTH,64
SOUTH,65
NORTHEAST,66
SOUTH,67
SOUTH,68
SOUTH,69
MIDWEST,70
NORTHEAST,71
SOUTH,72
SOUTH,73
MIDWEST,74
WEST,75
NORTHEAST,76
NORTHEAST,77
NORTHEAST,78
SOUTH,79
NORTHEAST,80
NORTHEAST,81
SOUTH,82
SOUTH,83
SOUTH,84
SOUTH,85
MIDWEST,86
SOUTH,87
NORTHEAST,88
NORTHEAST,89
NORTHEAST,90
NORTHEAST,91
NORTHEAST,92
SOUTH,93
NORTHEAST,94
NORTHEAST,95
SOUTH,96
NORTHEAST,97
NORTHEAST,98
SOUTH,99
NORTHEAST,100
NORTHEAST,101
NORTHEAST,102
SOUTH,103
NORTHEAST,104
SOUTH,105
NORTHEAST,106
SOUTH,107
NORTHEAST,108
SOUTH,109
NORTHEAST,110
NORTHEAST,111
NORTHEAST,112
NORTHEAST,113
NORTHEAST,114
NORTHEAST,115
NORTHEAST,116
NORTHEAST,117
SOUTH,118
MIDWEST,119
SOUTH,120
SOUTH,121
NORTHEAST,122
NORTHEAST,123
SOUTH,124
MIDWEST,125
NORTHEAST,126
NORTHEAST,127
NORTHEAST,128
NORTHEAST,129
MIDWEST,130
NORTHEAST,131
SOUTH,132
SOUTH,133
NORTHEAST,134
NORTHEAST,135
NORTHEAST,136
NORTHEAST,137
NORTHEAST,138
SOUTH,139
WEST,140
MIDWEST,141
NORTHEAST,142
NORTHEAST,143
MIDWEST,144
SOUTH,145
NORTHEAST,146
NORTHEAST,147
SOUTH,148
SOUTH,149
SOUTH,150
SOUTH,151
SOUTH,152
NORTHEAST,153
NORTHEAST,154
SOUTH,155
WEST,156
NORTHEAST,157
NORTHEAST,158
SOUTH,159
NORTHEAST,160
NORTHEAST,161
NORTHEAST,162
NORTHEAST,163
NORTHEAST,164
NORTHEAST,165
NORTHEAST,166
MIDWEST,167
NORTHEAST,168
NORTHEAST,169
