region,id
SOUTH,1
NORTHEAST,2
MIDWEST,3
SOUTH,4
NORTHEAST,5
NORTHEAST,6
SOUTH,7
SOUTH,8
MIDWEST,9
SOUTH,10
MIDWEST,11
MIDWEST,12
SOUTH,13
MIDWEST,14
NORTHEAST,15
WEST,16
SOUTH,17
SOUTH,18
MIDWEST,19
SOUTH,20
NORTHEAST,21
NORTHEAST,22
SOUTH,23
SOUTH,24
NORTHEAST,25
SOUTH,26
SOUTH,27
MIDWEST,28
NORTHEAST,29
SOUTH,30
NORTHEAST,31
SOUTH,32
SOUTH,33
SOUTH,34
SOUTH,35
SOUTH,36
SOUTH,37
NORTHEAST,38
SOUTH,39
MIDWEST,40
MIDWEST,41
SOUTH,42
SOUTH,43
WEST,44
SOUTH,45
NORTHEAST,46
WEST,47
SOUTH,48
SOUTH,49
NORTHEAST,50
SOUTH,51
SOUTH,52
SOUTH,53
SOUTH,54
NORTHEAST,55
NORTHEAST,56
SOUTH,57
SOUTH,58
MIDWEST,59
SOUTH,60
NORTHEAST,61
MIDWEST,62
MIDWEST,63
NORTHEAST,64
SOUTH,65
NORTHEAST,66
SOUTH,67
NORTHEAST,68
SOUTH,69
SOUTH,70
SOUTH,71
SOUTH,72
NORTHEAST,73
SOUTH,74
SOUTH,75
SOUTH,76
SOUTH,77
SOUTH,78
SOUTH,79
NORTHEAST,80
SOUTH,81
SOUTH,82
SOUTH,83
NORTHEAST,84
NORTHEAST,85
MIDWEST,86
NORTHEAST,87
MIDWEST,88
SOUTH,89
SOUTH,90
NORTHEAST,91
NORTHEAST,92
NORTHEAST,93
NORTHEAST,94
SOUTH,95
SOUTH,96
NORTHEAST,97
SOUTH,98
SOUTH,99
MIDWEST,100
SOUTH,101
SOUTH,102
NORTHEAST,103
NORTHEAST,104
SOUTH,105
NORTHEAST,106
NORTHEAST,107
NORTHEAST,108
NORTHEAST,109
NORTHEAST,110
NORTHEAST,111
NORTHEAST,112
NORTHEAST,113
SOUTH,114
NORTHEAST,115
NORTHEAST,116
NORTHEAST,117
SOUTH,118
SOUTH,119
NORTHEAST,120
SOUTH,121
SOUTH,122
SOUTH,123
NORTHEAST,124
NORTHEAST,125
WEST,126
NORTHEAST,127
SOUTH,128
WEST,129
NORTHEAST,130
SOUTH,131
SOUTH,132
NORTHEAST,133
NORTHEAST,134
NORTHEAST,135
NORTHEAST,136
NORTHEAST,137
NORTHEAST,138
NORTHEAST,139
MIDWEST,140
SOUTH,141
SOUTH,142
MIDWEST,143
SOUTH,144
NORTHEAST,145
NORTHEAST,146
NORTHEAST,147
MIDWEST,148
NORTHEAST,149
SOUTH,150
NORTHEAST,151
SOUTH,152
NORTHEAST,153
SOUTH,154
SOUTH,155
SOUTH,156
NORTHEAST,157
NORTHEAST,158
NORTHEAST,159
SOUTH,160
NORTHEAST,161
MIDWEST,162
SOUTH,163
NORTHEAST,164
SOUTH,165
MIDWEST,166
NORTHEAST,167
NORTHEAST,168
SOUTH,169
NORTHEAST,170
NORTHEAST,171
NORTHEAST,172
NORTHEAST,173
NORTHEAST,174
