region,id
SOUTH,1
MIDWEST,2
NORTHEAST,3
SOUTH,4
SOUTH,5
NORTHEAST,6
SOUTH,7
SOUTH,8
NORTHEAST,9
SOUTH,10
SOUTH,11
NORTHEAST,12
NORTHEAST,13
NORTHEAST,14
SOUTH,15
SOUTH,16
SOUTH,17
SOUTH,18
NORTHEAST,19
SOUTH,20
SOUTH,21
SOUTH,22
SOUTH,23
SOUTH,24
SOUTH,25
NORTHEAST,26
SOUTH,27
SOUTH,28
SOUTH,29
SOUTH,30
SOUTH,31
SOUTH,32
SOUTH,33
NORTHEAST,34
SOUTH,35
SOUTH,36
SOUTH,37
NORTHEAST,38
NORTHEAST,39
NORTHEAST,40
SOUTH,41
SOUTH,42
SOUTH,43
NORTHEAST,44
SOUTH,45
SOUTH,46
MIDWEST,47
SOUTH,48
NORTHEAST,49
NORTHEAST,50
NORTHEAST,51
SOUTH,52
SOUTH,53
SOUTH,54
SOUTH,55
SOUTH,56
SOUTH,57
SOUTH,58
SOUTH,59
NORTHEAST,60
SOUTH,61
NORTHEAST,62
NORTHEAST,63
NORTHEAST,64
SOUTH,65
SOUTH,66
SOUTH,67
WEST,68
SOUTH,69
SOUTH,70
SOUTH,71
NORTHEAST,72
NORTHEAST,73
SOUTH,74
SOUTH,75
SOUTH,76
SOUTH,77
NORTHEAST,78
SOUTH,79
NORTHEAST,80
NORTHEAST,81
NORTHEAST,82
SOUTH,83
SOUTH,84
NORTHEAST,85
SOUTH,86
SOUTH,87
SOUTH,88
SOUTH,89
NORTHEAST,90
SOUTH,91
SOUTH,92
SOUTH,93
SOUTH,94
SOUTH,95
SOUTH,96
NORTHEAST,97
SOUTH,98
NORTHEAST,99
NORTHEAST,100
NORTHEAST,101
NORTHEAST,102
SOUTH,103
SOUTH,104
NORTHEAST,105
NORTHEAST,106
NORTHEAST,107
NORTHEAST,108
NORTHEAST,109
NORTHEAST,110
NORTHEAST,111
NORTHEAST,112
NORTHEAST,113
SOUTH,114
NORTHEAST,115
NORTHEAST,116
NORTHEAST,117
SOUTH,118
NORTHEAST,119
SOUTH,120
NORTHEAST,121
SOUTH,122
NORTHEAST,123
NORTHEAST,124
SOUTH,125
SOUTH,126
SOUTH,127
NORTHEAST,128
NORTHEAST,129
NORTHEAST,130
SOUTH,131
NORTHEAST,132
NORTHEAST,133
SOUTH,134
NORTHEAST,135
NORTHEAST,136
SOUTH,137
SOUTH,138
WEST,139
NORTHEAST,140
NORTHEAST,141
NORTHEAST,142
SOUTH,143
SOUTH,144
SOUTH,145
SOUTH,146
NORTHEAST,147
SOUTH,148
WEST,149
SOUTH,150
SOUTH,151
NORTHEAST,152
SOUTH,153
SOUTH,154
SOUTH,155
WEST,156
SOUTH,157
SOUTH,158
SOUTH,159
SOUTH,160
SOUTH,161
NORTHEAST,162
SOUTH,163
NORTHEAST,164
SOUTH,165
SOUTH,166
NORTHEAST,167
SOUTH,168
NORTHEAST,169
SOUTH,170
NORTHEAST,171
NORTHEAST,172
SOUTH,173
NORTHEAST,174
NORTHEAST,175
NORTHEAST,176
NORTHEAST,177
NORTHEAST,178
NORTHEAST,179
NORTHEAST,180
NORTHEAST,181
NORTHEAST,182
NORTHEAST,183
NORTHEAST,184
NORTHEAST,185
NORTHEAST,186
NORTHEAST,187
NORTHEAST,188
NORTHEAST,189
NORTHEAST,190
NORTHEAST,191
SOUTH,192
NORTHEAST,193
NORTHEAST,194
SOUTH,195
NORTHEAST,196
NORTHEAST,197
NORTHEAST,198
NORTHEAST,199
NORTHEAST,200
NORTHEAST,201
NORTHEAST,202
NORTHEAST,203
NORTHEAST,204
NORTHEAST,205
NORTHEAST,206
NORTHEAST,207
NORTHEAST,208
NORTHEAST,209
NORTHEAST,210
NORTHEAST,211
SOUTH,212
NORTHEAST,213
SOUTH,214
NORTHEAST,215
SOUTH,216
SOUTH,217
SOUTH,218
NORTHEAST,219
SOUTH,220
SOUTH,221
NORTHEAST,222
SOUTH,223
NORTHEAST,224
NORTHEAST,225
SOUTH,226
NORTHEAST,227
NORTHEAST,228
NORTHEAST,229
SOUTH,230
SOUTH,231
SOUTH,232
SOUTH,233
SOUTH,234
SOUTH,235
SOUTH,236
SOUTH,237
SOUTH,238
SOUTH,239
NORTHEAST,240
SOUTH,241
SOUTH,242
NORTHEAST,243
NORTHEAST,244
NORTHEAST,245
SOUTH,246
SOUTH,247
NORTHEAST,248
NORTHEAST,249
NORTHEAST,250
NORTHEAST,251
WEST,252
SOUTH,253
SOUTH,254
SOUTH,255
SOUTH,256
NORTHEAST,257
SOUTH,258
SOUTH,259
SOUTH,260
SOUTH,261
NORTHEAST,262
NORTHEAST,263
NORTHEAST,264
SOUTH,265
SOUTH,266
SOUTH,267
NORTHEAST,268
SOUTH,269
SOUTH,270
SOUTH,271
SOUTH,272
NORTHEAST,273
NORTHEAST,274
SOUTH,275
SOUTH,276
SOUTH,277
SOUTH,278
SOUTH,279
SOUTH,280
SOUTH,281
SOUTH,282
NORTHEAST,283
SOUTH,284
NORTHEAST,285
SOUTH,286
WEST,287
SOUTH,288
NORTHEAST,289
SOUTH,290
SOUTH,291
NORTHEAST,292
SOUTH,293
SOUTH,294
NORTHEAST,295
SOUTH,296
SOUTH,297
SOUTH,298
NORTHEAST,299
NORTHEAST,300
NORTHEAST,301
NORTHEAST,302
SOUTH,303
NORTHEAST,304
NORTHEAST,305
SOUTH,306
SOUTH,307
NORTHEAST,308
NORTHEAST,309
NORTHEAST,310
NORTHEAST,311
NORTHEAST,312
SOUTH,313
SOUTH,314
NORTHEAST,315
NORTHEAST,316
SOUTH,317
NORTHEAST,318
NORTHEAST,319
NORTHEAST,320
NORTHEAST,321
SOUTH,322
NORTHEAST,323
NORTHEAST,324
NORTHEAST,325
